LE_1,LE_2,L1_1,L1_2,L3_1,L3_2,LE_IDR,L1_IDR,L3_IDR,summit_agreement,k4cluster,k11cluster,k4weights,k11weights,LE_nonNormed,L1_nonNormed,L3_nonNormed,LE_std,L1_std,L3_std,name,cluster.description,variance,peak,WBGeneID,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest
1.506185,1.929611,2.695994,2.613532,2.032422,1.862497,1,0,1,404.75,2,5,0.680,1.000,1.718,2.655,1.947,-0.796,1.122,-0.326,ELT2peak00017,Larval,0.23844879193658336,ELT2peak00017,WBGene00000227,183364,208465,+,overlapStart,-13054,439,Overlapping
2.129283,2.263034,2.847997,1.695994,4.184424,4.964035,1,0,1,35,3,9,0.979,1.000,2.196,2.272,4.574,-0.605,-0.549,1.154,ELT2peak00018,L3_High,1.8268757203943324,ELT2peak00018,WBGene00016906,305811,311130,-,overlapStart,-2470,218,Overlapping
1.64689,1.381871,2.111031,2.226508,3.892244,4.081665,1,0,1,35.75,3,11,0.520,1.000,1.514,2.169,3.987,-0.814,-0.303,1.116,ELT2peak00019,L3_High,1.641273973837,ELT2peak00019,WBGene00002077,310981,314989,-,overlapStart,-2365,52,Overlapping
0.622,0.649503,2.049631,1.526069,2.669852,2.92139,0,0,1,77.5,4,10,0.996,1.000,0.636,1.788,2.796,-1.022,0.045,0.977,ELT2peak00021,Increasing,1.1679949331955835,ELT2peak00021,WBGene00020089,373571,379073,-,overlapStart,-3224,446,Overlapping
0.549967,0.584963,2.43296,2.333424,2.386058,2.095157,0,0,1,252,2,7,0.876,1.000,0.567,2.383,2.241,-1.152,0.647,0.505,ELT2peak00022,Larval,1.0194334505792502,ELT2peak00022,WBGene00004143,379071,381902,-,overlapStart,-998,70,Overlapping
1.959358,2.152003,1.655352,1.811471,3.801096,4.135515,1,0,1,44.75,3,6,0.966,1.000,2.056,1.733,3.968,-0.439,-0.706,1.144,ELT2peak00023,L3_High,1.4594571483703327,ELT2peak00023,WBGene00006385,382648,388564,+,overlapStart,-3009,347,Overlapping
3.222393,3,1.695994,1.695994,1.254814,1.447459,0,0,1,56,1,1,0.923,1.000,3.111,1.696,1.351,1.135,-0.383,-0.752,ELT2peak00026,Embryo_Specific,0.8699226691520835,ELT2peak00026,WBGene00021733,398891,412915,+,inside,-5132,1539,Overlapping
2.052467,2.263035,2.526069,2.526069,2.769387,2.562936,1,0,0,42.5,0,0,0.000,0.000,2.158,2.526,2.666,-1.113,0.290,0.823,ELT2peak00029,Not_Changing,0.06896088236508335,ELT2peak00029,WBGene00006593,443999,461605,+,overlapStart,-8778,701,Overlapping
2.845323,3.260063,3.011496,2.818851,3.254814,3.184425,1,1,1,7.333333333333333,0,0,0.000,0.000,3.053,2.915,3.220,-0.064,-0.966,1.031,ELT2peak00030,Not_Changing,0.0232439060330834,ELT2peak00030,WBGene00021026,461995,462651,+,overlapStart,-499,195,Overlapping
1.78799,1.798366,2.773996,2.226508,1.447459,0.669851,1,0,0,0,1,2,0.369,1.000,1.793,2.500,1.059,0.013,0.994,-1.006,ELT2peak00031,Embryo_Specific,0.5196132649023332,ELT2peak00031,WBGene00021025,477582,481954,+,inside,194,1427,Overlapping
2.651236,2.668794,2.049631,2.169925,3.720477,4.097713,1,0,1,16,3,6,0.852,1.000,2.660,2.110,3.909,-0.253,-0.849,1.102,ELT2peak00032,L3_High,0.8500838781763328,ELT2peak00032,WBGene00021024,488607,489905,+,overlapStart,-842,90,Overlapping
1.907519,2.387023,2.655352,3.198494,5.630681,6.334171,1,0,1,3.75,3,9,0.709,1.000,2.147,2.927,5.982,-0.759,-0.374,1.133,ELT2peak00033,L3_High,4.108728283023001,ELT2peak00033,WBGene00001814,489969,496150,+,overlapStart,-3014,282,Overlapping
1.5025,1.036526,2.613532,1.9855,3.562936,4.288761,0,0,1,10.5,4,11,0.793,1.000,1.270,2.300,3.926,-0.917,-0.148,1.066,ELT2peak00034,Increasing,1.79366364485425,ELT2peak00034,WBGene00001814,489969,496150,+,overlapEnd,3026,627,Overlapping
2.203777,2.242857,2.773996,2.695994,6.022368,6.630681,1,0,1,29.5,3,9,0.883,1.000,2.223,2.735,6.327,-0.688,-0.459,1.147,ELT2peak00035,L3_High,4.999535052185084,ELT2peak00035,WBGene00022037,511052,519800,-,inside,-1388,2590,Overlapping
3.138561,3.168397,3.735522,4.155425,7.30958,7.60733,1,1,1,83,3,9,0.760,1.000,3.153,3.945,7.458,-0.741,-0.396,1.137,ELT2peak00036,L3_High,5.250185444658085,ELT2peak00036,WBGene00022037,511052,519800,-,inside,-3065,957,Overlapping
2.465249,2.213404,2.41684,3.280956,4.254814,4.74514,1,1,1,28.44444444445738,3,11,0.613,1.000,2.339,2.849,4.500,-0.788,-0.337,1.125,ELT2peak00037,L3_High,1.275689260167249,ELT2peak00037,WBGene00022042,535791,536670,+,overlapStart,-674,168,Overlapping
2.598259,2.525461,2.705978,3.049631,5.79717,5.98834,1,1,1,44.333333333333336,3,9,0.926,1.000,2.562,2.878,5.893,-0.661,-0.489,1.150,ELT2peak00038,L3_High,3.3807681575925836,ELT2peak00038,WBGene00007009,537122,542200,+,overlapStart,-2669,235,Overlapping
0.974465,0.809317,2.9855,3.049631,2.949959,3.386058,0,0,1,193,2,8,0.605,1.000,0.892,3.018,3.168,-1.153,0.517,0.635,ELT2peak00039,Larval,1.62030600833425,ELT2peak00039,WBGene00007009,537122,542200,+,inside,351,1658,Overlapping
1.959358,1.591915,2.847997,2.43296,3.386058,2.862497,1,0,1,105.5,4,10,0.944,1.000,1.776,2.640,3.124,-1.080,0.186,0.894,ELT2peak00040,Increasing,0.4668076173743332,ELT2peak00040,WBGene00007009,537122,542200,+,overlapEnd,3046,464,Overlapping
1.653027,1.16711,3.480265,3.526069,3.964035,4.753267,0,0,1,6,4,8,0.839,1.000,1.410,3.503,4.359,-1.108,0.272,0.836,ELT2peak00042,Increasing,2.3011754940440836,ELT2peak00042,WBGene00004235,550696,556638,+,overlapStart,-3013,263,Overlapping
1.010888,0.540568,3.169925,2.695994,4.07195,4.617384,0,0,1,5.5,4,10,0.979,1.000,0.776,2.933,4.345,-1.062,0.138,0.924,ELT2peak00043,Increasing,3.2306485659782505,ELT2peak00043,WBGene00022040,562736,565181,+,overlapStart,-1263,201,Overlapping
1.163499,1.358454,2.333424,2.613532,3.99178,4.506352,0,0,1,1.5,4,11,0.836,1.000,1.261,2.473,4.249,-0.932,-0.125,1.057,ELT2peak00044,Increasing,2.25859191554275,ELT2peak00044,WBGene00000434,565436,566414,-,overlapEnd,715,13,Overlapping
2.187627,1.777608,1.895303,1.333424,1.769387,2.386058,0,0,1,21,0,0,0.000,0.000,1.983,1.614,2.078,0.372,-1.133,0.761,ELT2peak00045,Not_Changing,0.05989292207033334,ELT2peak00045,WBGene00022027,636804,637852,+,overlapStart,-388,237,Overlapping
1.807355,1.473931,2.695994,2.918386,2.862497,3.110424,1,0,0,14.5,4,8,0.475,1.000,1.641,2.807,2.986,-1.146,0.450,0.696,ELT2peak00046,Increasing,0.5340324264475831,ELT2peak00046,WBGene00022026,638129,653986,+,overlapStart,-7748,304,Overlapping
1.392317,1.415037,3.226509,2.773996,3.019001,3.343623,0,0,1,36.5,2,8,0.519,1.000,1.404,3.000,3.181,-1.150,0.482,0.667,ELT2peak00047,Larval,0.9569703438275835,ELT2peak00047,WBGene00021215,680408,683472,+,overlapStart,-1668,195,Overlapping
1.521953,1.415038,2.333424,1.526069,3.562936,3.386058,0,0,1,39.5,3,11,0.631,1.000,1.468,1.930,3.474,-0.783,-0.344,1.127,ELT2peak00048,L3_High,1.10384143504225,ELT2peak00048,WBGene00022518,803368,835277,+,inside,-1044,14577,Overlapping
3.197007,3.054862,2.226509,2.526069,3.736966,4.277534,1,0,1,33.5,3,6,0.722,1.000,3.126,2.376,4.007,-0.054,-0.972,1.026,ELT2peak00049,L3_High,0.6664531949552501,ELT2peak00049,WBGene00022518,803368,835277,+,inside,972,14673,Overlapping
2.485427,2.446064,1.333424,1.526069,2.321928,3.005455,1,0,0,6,3,4,0.451,1.000,2.466,1.430,2.664,0.422,-1.142,0.720,ELT2peak00051,L3_High,0.43918280165700013,ELT2peak00051,WBGene00022388,853451,872103,+,overlapStart,-9367,332,Overlapping
2.544321,2.736966,2.773996,2.526069,2.862497,3.906891,0,0,1,280,3,9,0.987,1.000,2.641,2.650,3.385,-0.588,-0.566,1.155,ELT2peak00052,L3_High,0.18223780324224984,ELT2peak00052,WBGene00022389,873164,882713,-,overlapEnd,4196,633,Overlapping
0.078003,0.621488,2.333424,2.9855,2.949959,3.386058,0,0,1,145.5,4,8,0.592,1.000,0.350,2.659,3.168,-1.138,0.400,0.738,ELT2peak00053,Increasing,2.25600269836725,ELT2peak00053,WBGene00022389,873164,882713,-,inside,1644,2634,Overlapping
1.881356,1.86755,3.333424,3.43296,2.932886,3.506353,1,1,1,27.666666666666668,2,7,0.913,1.000,1.874,3.383,3.220,-1.149,0.673,0.476,ELT2peak00054,Larval,0.6854203742665834,ELT2peak00054,WBGene00022389,873164,882713,-,inside,-2036,2364,Overlapping
2.624491,2.652077,2.895303,3.028569,6.707987,6.89592,1,1,1,23.666666666666668,3,9,0.945,1.000,2.638,2.962,6.802,-0.646,-0.506,1.152,ELT2peak00055,L3_High,5.3644381204400835,ELT2peak00055,WBGene00022389,873164,882713,-,inside,-3666,827,Overlapping
2.070389,1.575502,2.38405,2.480265,6.246201,6.82828,1,1,1,90.66666666666667,3,9,0.876,1.000,1.823,2.432,6.537,-0.692,-0.454,1.147,ELT2peak00056,L3_High,6.574570507476334,ELT2peak00056,WBGene00022389,873164,882713,-,overlapStart,-5046,175,Overlapping
0.807355,1.208587,2.847997,2.695994,2.703799,2.949959,0,0,1,6,2,8,0.686,1.000,1.008,2.772,2.827,-1.154,0.551,0.604,ELT2peak00057,Larval,1.0705368246060833,ELT2peak00057,WBGene00003548,943664,947710,+,inside,445,1335,Overlapping
0.859822,0.736966,2.333424,1.847997,1.321928,1.447459,0,0,1,123.5,2,5,0.825,1.000,0.798,2.091,1.385,-0.968,1.029,-0.062,ELT2peak00058,Larval,0.4187148406935834,ELT2peak00058,WBGene00003238,948569,957404,-,inside,48,3909,Overlapping
2.273018,1.736966,3.280956,3.480265,3.525461,4.562936,1,0,1,39.75,4,10,0.899,1.000,2.005,3.381,4.044,-1.094,0.228,0.866,ELT2peak00059,Increasing,1.0818397401547502,ELT2peak00059,WBGene00003238,948569,957404,-,overlapStart,-4570,154,Overlapping
0.900464,1.119582,0.847997,1.189034,1.949959,2.862496,0,0,1,71.5,3,9,0.989,1.000,1.010,1.019,2.406,-0.583,-0.572,1.155,ELT2peak00061,L3_High,0.6458672872200832,ELT2peak00061,WBGene00018787,963700,969426,-,overlapEnd,2578,144,Overlapping
1.938599,1.607682,2.613532,2.43296,1.949959,2.386058,0,0,1,0,2,5,0.880,1.000,1.773,2.523,2.168,-1.017,0.982,0.035,ELT2peak00062,Larval,0.14079544666008345,ELT2peak00062,WBGene00018787,963700,969426,-,inside,1530,792,Overlapping
1.165809,1.530515,2.43296,2.111031,3.147899,3.862496,0,0,1,1,4,11,0.884,1.000,1.348,2.272,3.505,-0.949,-0.095,1.044,ELT2peak00063,Increasing,1.171176276131083,ELT2peak00063,WBGene00018788,969089,976550,-,inside,-486,2904,Overlapping
1.14439,1.040642,4.18428,4.592158,5.520708,6.025727,0,1,1,12.75,4,8,0.850,1.000,1.093,4.388,5.773,-1.106,0.265,0.841,ELT2peak00066,Increasing,5.781474273552249,ELT2peak00066,WBGene00236808,1015204,1015731,-,overlapEnd,318,190,Overlapping
1.13993,1.415037,2.526069,1.847997,2.184424,2.321928,0,0,1,19.5,2,8,0.601,1.000,1.277,2.187,2.253,-1.153,0.516,0.637,ELT2peak00067,Larval,0.29727184065924983,ELT2peak00067,WBGene00005002,1016403,1017180,+,overlapStart,-152,19,Overlapping
1.63743,1.263034,3.280956,4.080658,3.884864,4.548997,0,0,1,6,4,8,0.625,1.000,1.450,3.681,4.217,-1.135,0.385,0.750,ELT2peak00069,Increasing,2.1529189712965833,ELT2peak00069,WBGene00021327,1019827,1029910,-,inside,3345,1462,Overlapping
1.600904,1.815575,2.675816,2.754888,5.110424,5.682675,0,0,1,1,3,11,0.493,1.000,1.708,2.715,5.397,-0.821,-0.293,1.114,ELT2peak00070,L3_High,3.634454379627083,ELT2peak00070,WBGene00021327,1019827,1029910,-,inside,2626,2226,Overlapping
1.981384,1.662965,1.263034,1.432959,3.184425,2.769387,0,0,1,17,3,6,0.864,1.000,1.822,1.348,2.977,-0.271,-0.837,1.108,ELT2peak00071,L3_High,0.7019326286610833,ELT2peak00071,WBGene00021327,1019827,1029910,-,overlapStart,-5632,26,Overlapping
2.807355,2.874469,1.144979,1.9855,3.184425,3.447459,1,0,1,6.25,3,4,0.520,1.000,2.841,1.565,3.316,0.295,-1.114,0.819,ELT2peak00072,L3_High,0.819658845277083,ELT2peak00072,WBGene00021329,1034443,1040868,+,overlapStart,-3182,329,Overlapping
1.122857,0.967579,2.918386,3.38405,2.525461,3.058894,0,0,1,6,2,7,0.967,1.000,1.045,3.151,2.792,-1.140,0.729,0.411,ELT2peak00074,Larval,1.2693355958800836,ELT2peak00074,WBGene00021331,1049596,1050727,+,overlapEnd,805,106,Overlapping
1.369234,1.063565,3.049631,3.480265,5.147899,5.656913,0,0,1,43.5,4,10,0.971,1.000,1.216,3.265,5.402,-0.993,-0.014,1.007,ELT2peak00075,Increasing,4.3813213461097495,ELT2peak00075,WBGene00021333,1050921,1053826,-,inside,-36,1130,Overlapping
1.222392,0.793549,1.9855,1.333424,2.669852,2.669852,0,0,1,84,4,11,0.803,1.000,1.008,1.659,2.670,-0.921,-0.143,1.064,ELT2peak00076,Increasing,0.7011965411190836,ELT2peak00076,WBGene00021333,1050921,1053826,-,overlapStart,-1520,366,Overlapping
2.145771,1.914608,2.918386,2.43296,3.110424,3.491853,1,1,1,95.88888888883714,4,10,0.985,1.000,2.030,2.676,3.301,-1.005,0.010,0.995,ELT2peak00077,Increasing,0.4038612335105833,ELT2peak00077,WBGene00021334,1053894,1066899,-,overlapStart,-6754,340,Overlapping
1.461179,1.678072,1.941106,1.818851,4.477206,4.991779,1,0,1,28.25,3,9,0.922,1.000,1.570,1.880,4.734,-0.664,-0.486,1.150,ELT2peak00078,L3_High,3.0434920480823333,ELT2peak00078,WBGene00001745,1068484,1075010,+,overlapStart,-3171,403,Overlapping
2.850424,2.813587,2.028569,1.333424,3.90689,4.35435,0,0,1,9.5,3,6,0.714,1.000,2.832,1.681,4.131,-0.040,-0.979,1.019,ELT2peak00079,L3_High,1.5019794382405838,ELT2peak00079,WBGene00001745,1068484,1075010,+,inside,-1814,1100,Overlapping
1.807355,1.415037,3.280956,3.169925,2.669852,3.862497,0,0,1,15.5,2,8,0.697,1.000,1.611,3.225,3.266,-1.154,0.556,0.599,ELT2peak00080,Larval,0.8910663999997501,ELT2peak00080,WBGene00021689,1136371,1154386,-,overlapStart,-8956,287,Overlapping
1.970854,2.471621,1.695994,1.748461,2.816693,3.562936,1,0,1,5,3,6,0.823,1.000,2.221,1.722,3.190,-0.210,-0.878,1.088,ELT2peak00081,L3_High,0.5568273312663331,ELT2peak00081,WBGene00000165,1154511,1156020,-,overlapStart,-1074,110,Overlapping
4.30212,4.277534,2.226509,2.495695,2.769387,3.343623,1,0,1,32.25,1,3,0.796,1.000,4.290,2.361,3.057,1.079,-0.895,-0.184,ELT2peak00082,Embryo_Specific,0.9541081022863342,ELT2peak00082,WBGene00001816,1162880,1175868,-,overlapStart,-6616,236,Overlapping
2.049556,1.830075,3.226509,2.847997,2.862497,2.669852,1,0,0,22.5,2,7,0.989,1.000,1.940,3.037,2.766,-1.122,0.798,0.324,ELT2peak00083,Larval,0.3267869694082499,ELT2peak00083,WBGene00021685,1211485,1254669,+,inside,-19381,1842,Overlapping
1.485427,1.415037,1.613532,1.918386,2.669851,3.35435,0,0,1,56,3,9,0.712,1.000,1.450,1.766,3.012,-0.758,-0.376,1.133,ELT2peak00084,L3_High,0.681997564640583,ELT2peak00084,WBGene00021685,1211485,1254669,+,inside,-9297,11895,Overlapping
1.517848,1.599462,1.799087,1.883621,3.208271,4.005455,0,0,1,37.5,3,9,0.860,1.000,1.559,1.841,3.607,-0.700,-0.445,1.145,ELT2peak00085,L3_High,1.2320161274910002,ELT2peak00085,WBGene00021691,1223957,1229282,-,inside,130,2178,Overlapping
1.949374,1.929611,2.9855,2.811471,5.330102,5.656912,1,0,1,8.25,3,11,0.503,1.000,1.939,2.898,5.494,-0.818,-0.297,1.115,ELT2peak00086,L3_High,3.3808038709535837,ELT2peak00086,WBGene00021691,1223957,1229282,-,inside,-1594,695,Overlapping
1.185866,0.802061,1.15056,1.432959,2.184425,3.066369,0,0,1,51.5,3,9,0.764,1.000,0.994,1.292,2.625,-0.740,-0.397,1.138,ELT2peak00087,L3_High,0.75480778399075,ELT2peak00087,WBGene00021691,1223957,1229282,-,overlapStart,-2892,113,Overlapping
1.47032,1.712019,3.111032,3.480265,2.471306,2.730393,1,0,1,26.75,2,5,0.926,1.000,1.591,3.296,2.601,-1.056,0.933,0.122,ELT2peak00088,Larval,0.7345746690403334,ELT2peak00088,WBGene00021685,1211485,1254669,+,inside,18622,2597,Overlapping
1.843881,5.058894,1.111031,2,3.184425,2.769387,1,0,0,233,1,3,0.523,1.000,3.451,1.556,2.977,0.801,-1.121,0.320,ELT2peak00092,Embryo_Specific,0.9733023812860834,ELT2peak00092,WBGene00003400,1305562,1328348,+,overlapEnd,12033,6,Overlapping
2.656795,2.790547,2.43296,2.722466,5.091315,5.707987,1,1,1,20.555555555503815,3,9,0.995,1.000,2.724,2.578,5.400,-0.531,-0.623,1.153,ELT2peak00093,L3_High,2.524251129001334,ELT2peak00093,WBGene00019674,1335321,1336867,+,overlapStart,-636,220,Overlapping
1.807355,2.058894,2.9855,2.847997,3.581315,4.097713,1,0,1,28.75,4,10,0.990,1.000,1.933,2.917,3.840,-1.010,0.021,0.989,ELT2peak00094,Increasing,0.9088888778460833,ELT2peak00094,WBGene00045052,1337012,1338216,+,overlapStart,-642,359,Overlapping
1.938599,1.584963,2.526069,2.226508,3.184425,3.321928,0,0,1,54,4,11,0.850,1.000,1.762,2.376,3.253,-0.937,-0.117,1.053,ELT2peak00095,Increasing,0.5618020949200836,ELT2peak00095,WBGene00045053,1338749,1339773,+,overlapStart,-795,77,Overlapping
2.13493,2.36257,2.226509,2.613532,2.321928,2.009338,1,0,1,52.375,0,0,0.000,0.000,2.249,2.420,2.166,-0.227,1.094,-0.867,ELT2peak00096,Not_Changing,0.016825836669249996,ELT2peak00096,WBGene00045053,1338749,1339773,+,overlapEnd,851,114,Overlapping
1.959358,4.058894,2.226508,1.847997,3.562936,3.884864,0,0,1,27.5,3,4,0.629,1.000,3.009,2.037,3.724,0.101,-1.047,0.946,ELT2peak00099,L3_High,0.7167032933890832,ELT2peak00099,WBGene00022366,1365309,1376409,+,inside,-1973,3313,Overlapping
2.888655,2.913843,1.9855,2.226508,2.769387,3.386058,1,0,1,75,3,4,0.464,1.000,2.901,2.106,3.078,0.398,-1.138,0.739,ELT2peak00101,L3_High,0.2679657249115834,ELT2peak00101,WBGene00022369,1416586,1425201,+,overlapStart,-4728,18,Overlapping
3.461858,3.159199,2.711935,2.695994,3.928586,4.417085,1,1,1,24.88888888891476,3,6,0.762,1.000,3.311,2.704,4.173,-0.115,-0.937,1.053,ELT2peak00104,L3_High,0.5448458771643333,ELT2peak00104,WBGene00004969,1446497,1465358,+,inside,-8734,306,Overlapping
2.517848,2.530515,2.111031,2.613532,1.862497,1.184425,1,0,0,44.5,1,1,0.691,1.000,2.524,2.362,1.523,0.721,0.420,-1.142,ELT2peak00105,Embryo_Specific,0.28854549339008323,ELT2peak00105,WBGene00001773,1451122,1453077,-,inside,430,233,Overlapping
3.379934,3.415037,0.847997,1.799087,2.486987,2.147899,1,0,1,59,1,3,0.721,1.000,3.397,1.324,2.317,1.014,-0.986,-0.028,ELT2peak00106,Embryo_Specific,1.0759287734665834,ELT2peak00106,WBGene00005077,1566929,1580196,+,inside,2310,3908,Overlapping
3.292782,2.900465,2.43296,2.43296,3.949959,4.417085,1,0,1,30,3,6,0.790,1.000,3.097,2.433,4.184,-0.160,-0.911,1.070,ELT2peak00107,L3_High,0.7810441510630833,ELT2peak00107,WBGene00022270,1581394,1593668,+,overlapStart,-6210,218,Overlapping
1.850424,1.900464,2.526069,2.333424,1.184425,1.032421,1,0,0,222,1,2,0.406,1.000,1.875,2.430,1.108,0.107,0.942,-1.049,ELT2peak00108,Embryo_Specific,0.4402447112665834,ELT2peak00108,WBGene00022270,1581394,1593668,+,inside,-2693,2834,Overlapping
2.105036,1.415037,2.526069,2.613532,1.801096,3.005455,1,0,0,7.5,2,7,0.983,1.000,1.760,2.570,2.403,-1.133,0.761,0.372,ELT2peak00109,Larval,0.18286745374033345,ELT2peak00109,WBGene00022270,1581394,1593668,+,inside,869,4888,Overlapping
1.959358,2.152003,2.43296,2.526069,3.35435,4.147899,0,0,1,14,3,11,0.568,1.000,2.056,2.480,3.751,-0.801,-0.320,1.121,ELT2peak00110,L3_High,0.7785262681319998,ELT2peak00110,WBGene00022268,1629003,1633498,+,overlapStart,-2420,178,Overlapping
1.63743,1.900464,2.9855,2.226508,1.669851,1.447459,1,0,0,118.5,2,2,0.465,1.000,1.769,2.606,1.559,-0.377,1.134,-0.757,ELT2peak00111,Larval,0.3069711790523334,ELT2peak00111,WBGene00003111,1644588,1651394,-,overlapStart,-3431,461,Overlapping
2.13993,2.29956,2.918386,2.526069,2.928586,3.370291,1,0,1,295.25,4,10,0.998,1.000,2.220,2.722,3.149,-1.026,0.054,0.972,ELT2peak00112,Increasing,0.21655465087824996,ELT2peak00112,WBGene00185098,1672821,1676434,-,overlapStart,-1742,699,Overlapping
1.499926,0.830075,2.695994,1.9855,3.321928,4.447459,0,0,1,3,4,11,0.891,1.000,1.165,2.341,3.885,-0.952,-0.090,1.042,ELT2peak00113,Increasing,1.8604801068955832,ELT2peak00113,WBGene00044348,1686216,1693457,-,inside,1890,1392,Overlapping
1.222393,1.45568,2.333424,2.613532,4.110424,4.793234,0,0,1,39,4,11,0.730,1.000,1.339,2.473,4.452,-0.899,-0.179,1.077,ELT2peak00114,Increasing,2.4817178906965833,ELT2peak00114,WBGene00044348,1686216,1693457,-,inside,-1568,1698,Overlapping
1.297681,3.473931,2.150559,2,2.769387,3.184425,1,0,1,167,3,6,0.820,1.000,2.386,2.075,2.977,-0.204,-0.882,1.086,ELT2peak00115,L3_High,0.20979271045075013,ELT2peak00115,WBGene00006702,1698094,1701128,+,overlapStart,-1690,393,Overlapping
2.222392,1.813587,2.43296,2.280956,2.07195,2.125531,0,0,1,0.5,0,0,0.000,0.000,2.018,2.357,2.099,-0.790,1.124,-0.334,ELT2peak00116,Not_Changing,0.031349440883250014,ELT2peak00116,WBGene00003080,1701361,1701808,+,overlapStart,-383,79,Overlapping
3.321928,3.119053,2.952333,2.811471,1.862497,2.494765,1,0,1,21.25,1,1,0.771,1.000,3.220,2.882,2.179,0.866,0.229,-1.095,ELT2peak00119,Embryo_Specific,0.2824505815855834,ELT2peak00119,WBGene00022141,1823447,1825967,+,overlapStart,-1411,91,Overlapping
1.766713,1.69883,1.695994,1.695994,2.862496,2.386058,1,0,1,6.75,3,9,0.995,1.000,1.733,1.696,2.624,-0.542,-0.612,1.154,ELT2peak00120,L3_High,0.2763073281875834,ELT2peak00120,WBGene00016907,1832897,1834764,+,overlapStart,-1086,125,Overlapping
1.714789,1.95109,2.263034,2.367371,5.166277,5.720478,1,1,1,33,3,9,0.868,1.000,1.833,2.315,5.443,-0.696,-0.450,1.146,ELT2peak00121,L3_High,3.8422198306063344,ELT2peak00121,WBGene00303070,1835738,1835910,+,overlapStart,-288,68,Overlapping
3.386779,3.311944,2.353888,2.57918,6.150978,6.689045,1,1,1,219.83333333333334,3,6,0.916,1.000,3.349,2.467,6.420,-0.351,-0.777,1.128,ELT2peak00122,L3_High,4.306376693377083,ELT2peak00122,WBGene00001196,1835631,1841936,+,inside,-2063,466,Overlapping
0.959358,0.830075,2.613532,3.049631,2.862497,2.769387,0,0,1,3,2,7,0.761,1.000,0.895,2.832,2.816,-1.155,0.584,0.570,ELT2peak00123,Larval,1.2404663406725833,ELT2peak00123,WBGene00001196,1835631,1841936,+,inside,664,1848,Overlapping
