Sequence name	Public_name	WBGeneID	DBD				
C43H6.7	dhhc-9	WBGene00016620	ZF - DHHC 				
C18D1.1	die-1	WBGene00000995	ZF - C2H2 - 3 fingers				
C34D1.1	dmd-10	WBGene00007929	ZF - DM				
C34D1.2	dmd-11	WBGene00007930	ZF - DM				
Y43F8C.10	dmd-3	WBGene00012832	ZF - DM				
C27C12.6	dmd-4	WBGene00007776	ZF - DM				
F10C1.5	dmd-5	WBGene00017326	ZF - DM				
F13G11.1	dmd-6	WBGene00007058	ZF - DM				
K08B12.2	dmd-7	WBGene00019521	ZF - DM				
T22H9.4	dmd-8	WBGene00020708	ZF - DM - 2 domains				
Y67D8A.3	dmd-9	WBGene00022060	ZF - DM				
F38A5.13	dnj-11	WBGene00001029	MYB - 2 domains				
T03F6.2	dnj-17	WBGene00001035	ZF - C2H2 - 2 fingers				
C28H8.9	dpff-1	WBGene00016200	ZF - C2H2 - 1 finger				
T23G7.1	dpl-1	WBGene00001061	WH - TDP				
R10D12.2	dpr-1	WBGene00001062	ZF - NHR				
T22B3.1	dpy-20	WBGene00001079	ZF - BED x2				
F47A4.2	dpy-22	WBGene00001081	TRAP230 family				
F40F9.7	drap-1	WBGene00009584	CBF				
F53A2.5	dro-1	WBGene00001092	CBF				
C18B12.3	dsc-1	WBGene00001096	HD - PRD				
ZC204.2	duxl-1	WBGene00022554	HD - HOX - 2 domains				
ZK1193.5	dve-1	WBGene00022861	HD - 2 domains				
Y52B11A.9	dxbp-1	WBGene00013128	ZF - C2H2 - 1 finger				
T10G3.5	eea-1	WBGene00011696	ZF - C2H2 - 1 finger				
Y102A5C.18	efl-1	WBGene00001161	WH - TDP				
Y48C3A.17	efl-2	WBGene00001162	WH - TDP				
F49E12.6	efl-3	WBGene00009899	WH - TDP - 2 domains				
T22B7.1	egl-13	WBGene00001182	HMG box				
F55A8.1	egl-18	WBGene00001186	ZF - GATA				
C04A2.3	egl-27	WBGene00001194	"ZF - GATA, MYB"				
C04G2.7	egl-38	WBGene00001204	Paired Domain - FULL				
R53.3	egl-43	WBGene00001207	ZF - C2H2 - 4 fingers				
F28B12.2	egl-44	WBGene00001208	TEA/ATTS				
K11G9.4	egl-46	WBGene00001210	ZF - C2H2 - 1 finger				
C08C3.1	egl-5	WBGene00001174	HD - HOX				
C27C12.2	egrh-1	WBGene00007772	ZF - C2H2 - 3 fingers				
Y55F3AM.7	egrh-2	WBGene00043705	ZF - C2H2 - 1 finger				
ZK616.10	ehn-3	WBGene00001223	ZF - C2H2 - 6 fingers				
Y105E8A.17	ekl-4	WBGene00013676	MYB				
C24A1.2	elf-1	WBGene00016029	WH - ETS				
W09C2.1	elt-1	WBGene00001249	ZF - GATA - 2 domains				
C33D3.1	elt-2	WBGene00001250	ZF - GATA				
K02B9.4	elt-3	WBGene00001251	ZF - GATA				
C39B10.6	elt-4	WBGene00001252	ZF - GATA				
F52C12.5	elt-6	WBGene00001253	ZF - GATA				
C18G1.2	elt-7	WBGene00015981	ZF - GATA				
F58E10.2	end-1	WBGene00001310	ZF - GATA				
F58E10.5	end-3	WBGene00001311	ZF - GATA				
R11E3.6	eor-1	WBGene00001324	ZF - C2H2 - 9 fingers				
F22A3.1	ets-4	WBGene00017687	WH - ETS				
C42D8.4	ets-5	WBGene00016600	WH - ETS				
F19F10.5	ets-7	WBGene00017601	WH - ETS				
C50A2.4	ets-8	WBGene00016798	WH - ETS				
C52B9.2	ets-9	WBGene00016865	WH - ETS x2				
Y53C12C.1	eyg-1	WBGene00013147	"HD - PRD, Paired Domain - CPAX"				
F10B5.3	F10B5.3	WBGene00008640	ZF - C2H2 - 4 fingers				
F10E7.11	F10E7.11	WBGene00017352	MYB				
F16B12.6	F16B12.6	WBGene00008882	AT Hook				
F19F10.1	F19F10.1	WBGene00017598	WH - ETS				
F21A9.2	F21A9.2	WBGene00017651	ZF - C2H2 - 2 fingers				
F21D5.9	F21D5.9	WBGene00009014	ZF - C2H2 - 1 finger				
F21G4.5	F21G4.5	WBGene00009026	ZF - C2H2 - 1 finger				
F22D6.2	F22D6.2	WBGene00009050	ZF - A20				
F23B12.7	F23B12.7	WBGene00009084	CBF				
F26A10.2	F26A10.2	WBGene00017814	ZF - C2H2 - 3 fingers				
F26F4.8	F26F4.8	WBGene00005011	ZF - C2H2 - 6 fingers				
F26H9.2	F26H9.2	WBGene00009174	RPEL - 2 domains				
F27D4.4	F27D4.4	WBGene00009189	ZF - CCCH - 2 domains				
F27D4.6	F27D4.6	WBGene00009190	ZF - C2H2 - 1 finger				
F33H1.4	F33H1.4	WBGene00009365	"ZF - C2H2 - 1 finger, AT Hook x3"				
F37B4.10	F37B4.10	WBGene00018140	ZF - C2H2 - 1 finger				
F38C2.7	F38C2.7	WBGene00009539	ZF - CCCH - 2 domains				
F40G9.14	F40G9.14	WBGene00018248	ZF - C2H2 - 1 finger				
F43G9.12	F43G9.12	WBGene00009672	GC-rich DNA-binding domain 				
F44D12.10	F44D12.10	WBGene00009687	ZF - C2H2 - 1 finger				
F44E2.7	F44E2.7	WBGene00018420	ZF - C2H2 - 2 fingers				
F47E1.3	F47E1.3	WBGene00018567	ZF - C2H2 - 3 fingers				
F52B5.7	F52B5.7	WBGene00009923	ZF - C2H2 - 1 finger				
F54F2.9	F54F2.9	WBGene00018836	MYB - 2 domains				
F56D1.1	F56D1.1	WBGene00018959	ZF - C2H2 - 4 fingers				
F57C9.4	F57C9.4	WBGene00019011	ZF - C2H2 - 3 fingers				
F58G1.2	F58G1.2	WBGene00010264	ZF - C2H2 - 6 fingers				
F56E3.4	fax-1	WBGene00001400	ZF - NHR				
Y38H8A.5	fezf-1	WBGene00012639	ZF - C2H2 - 5 fingers				
C25A1.2	fkh-10	WBGene00001442	WH - Fork Head				
T14G12.4	fkh-2	WBGene00001434	WH - Fork Head				
C29F7.4	fkh-3	WBGene00001435	WH - Fork Head				
C29F7.5	fkh-4	WBGene00001436	WH - Fork Head				
F26A1.2	fkh-5	WBGene00001437	WH - Fork Head				
B0286.5	fkh-6	WBGene00001438	WH - Fork Head				
F26D12.1	fkh-7	WBGene00001439	"ZF - C2H2 - 1 finger, WH - Fork Head"				
F40H3.4	fkh-8	WBGene00001440	WH - Fork Head				
K03C7.2	fkh-9	WBGene00001441	WH - Fork Head				
Y11D7A.12	flh-1	WBGene00012435	ZF - FLYWCH				
C26E6.2	flh-2	WBGene00016138	ZF - FLYWCH				
Y11D7A.13	flh-3	WBGene00012436	ZF - FLYWCH				
F29G9.4	fos-1	WBGene00001345	bZIP				
K01B6.1	fozi-1	WBGene00010453	ZF - C2H2 - 1 finger				
F58A4.11	gei-13	WBGene00001570	ZF - BED				
W10D5.3	gei-17	WBGene00001574	ZF - MIZ				
T22H6.6	gei-3	WBGene00001560	HMG box				
C14B9.6	gei-8	WBGene00001565	MYB - 2 domains				
T02E1.3	gla-3	WBGene00011376	ZF - CCCH - 2 domains				
C01B12.2	gmeb-1	WBGene00015285	SAND				
F53H4.5	gmeb-2	WBGene00010010	SAND				
C44F1.2	gmeb-3	WBGene00008092	"AT Hook, SAND"				
Y48G8AR.1	grh-1	WBGene00001707	CP2 				
H16D19.3	H16D19.3	WBGene00010401	ZF - C2H2 - 4 fingers				
F53B2.6	ham-1	WBGene00001820	WH				
C07A12.1	ham-2	WBGene00001821	ZF - C2H2 - 2 fingers				
F13D11.2	hbl-1	WBGene00001824	ZF - C2H2 - 9 fingers				
F38A6.3	hif-1	WBGene00001851	bHLH				
T07G12.12	him-8	WBGene00001867	ZF - C2H2 - 1 finger				
F39B2.1	hinf-1	WBGene00009553	ZF - C2H2 - 9 fingers				
B0304.1	hlh-1	WBGene00001948	bHLH				
ZK682.4	hlh-10	WBGene00001954	bHLH				
F58A4.7	hlh-11	WBGene00001955	bHLH				
C28C12.8	hlh-12	WBGene00001956	bHLH				
F48D6.3	hlh-13	WBGene00001957	bHLH				
C18A3.8	hlh-14	WBGene00001958	bHLH				
C43H6.8	hlh-15	WBGene00001959	bHLH				
DY3.3	hlh-16	WBGene00001960	bHLH				
F38C2.2	hlh-17	WBGene00001961	bHLH				
F57C12.3	hlh-19	WBGene00001962	bHLH				
M05B5.5	hlh-2	WBGene00001949	bHLH				
C17C3.7	hlh-25	WBGene00001964	bHLH				
C17C3.8	hlh-26	WBGene00001965	bHLH - 2 domains				
C17C3.10	hlh-27	WBGene00001966	bHLH				
F31A3.2	hlh-28	WBGene00001967	bHLH - 2 domains				
F31A3.4	hlh-29	WBGene00001968	bHLH - 2 domains				
T24B8.6	hlh-3	WBGene00001950	bHLH				
W02C12.3	hlh-30	WBGene00020930	bHLH				
F38C2.8	hlh-31	WBGene00009540	bHLH				
Y105C5B.29	hlh-32	WBGene00013665	bHLH				
Y39A3CR.6	hlh-33	WBGene00021446	bHLH				
T01D3.2	hlh-34	WBGene00011327	bHLH				
T05G5.2	hlh-4	WBGene00001951	bHLH				
T15H9.3	hlh-6	WBGene00001952	bHLH				
C02B8.4	hlh-8	WBGene00001953	bHLH				
F54A5.1	hmbx-1	WBGene00018786	HD - HNF				
Y48B6A.14	hmg-1.1	WBGene00001971	HMG box				
F47D12.4	hmg-1.2	WBGene00001972	HMG box - 2 domains				
T05A7.4	hmg-11	WBGene00001976	AT Hook x3				
Y17G7A.1	hmg-12	WBGene00001977	AT Hook x7				
W02D9.3	hmg-20	WBGene00012209	HMG box				
C32F10.5	hmg-3	WBGene00001973	HMG box				
T20B12.8	hmg-4	WBGene00001974	HMG box				
F45E4.9	hmg-5	WBGene00001975	HMG box - 2 domains				
F47G4.6	hmg-6	WBGene00009827	HMG box				
C44C10.8	hnd-1	WBGene00001981	bHLH				
Y53C10A.12	hsf-1	WBGene00002004	WH - HSF				
Y53C10A.3	hsf-2	WBGene00013134	WH - HSF - 2 domains				
C36F7.1	irx-1	WBGene00007984	HD - TALE				
F37A4.8	isw-1	WBGene00002169	"AT Hook, MYB x2"				
K04C1.3	K04C1.3	WBGene00010553	"ZF - C2H2 - 1 finger, WH - Fork Head"				
K05F1.5	K05F1.5	WBGene00019407	ZF - C2H2 - 1 finger				
K09A11.1	K09A11.1	WBGene00010704	ZF - BED				
K09H9.7	K09H9.7	WBGene00019598	ZF - C2H2 - 2 fingers				
K10B3.5	K10B3.5	WBGene00019611	ZF - C2H2 - 2 fingers				
K11D12.12	K11D12.12	WBGene00019651	ZF - C2H2 - 1 finger				
K11D2.4	K11D2.4	WBGene00010770	ZF - C2H2 - 3 fingers				
K12H6.12	K12H6.12	WBGene00019691	ZF - C2H2 - 1 finger				
F56F11.3	klf-1	WBGene00018990	ZF - C2H2 - 3 fingers				
F53F8.1	klf-2	WBGene00009998	ZF - C2H2 - 3 fingers				
F54H5.4	klf-3	WBGene00003480	ZF - C2H2 - 3 fingers				
ZK337.2	klu-1	WBGene00013970	ZF - C2H2 - 4 fingers				
ZC328.2	klu-2	WBGene00022592	ZF - C2H2 - 3 fingers				
K08B4.1	lag-1	WBGene00002245	IPT/TIG				
F26B1.7	let-381	WBGene00002601	WH - Fork Head				
C27A12.3	let-391	WBGene00006492	ZF - C2H2 - 6 fingers				
C01G8.9	let-526	WBGene00002717	ARID/BRIGHT				
F57B10.1	let-607	WBGene00002783	bZIP				
ZC8.4	lfi-1	WBGene00022500	bZIP				
ZC64.4	lim-4	WBGene00002987	HD - LIM				
K03E6.1	lim-6	WBGene00002988	HD - LIM				
C04F1.3	lim-7	WBGene00002989	HD - LIM				
C37F5.1	lin-1	WBGene00002990	WH - ETS				
ZC247.3	lin-11	WBGene00003000	HD - LIM				
C03B8.4	lin-13	WBGene00003002	ZF - C2H2 - 15 fingers				
ZK662.4	lin-15B	WBGene00023497	"AT Hook x2, ZF - THAP"				
Y54G2A.1	lin-22	WBGene00003008	bHLH				
F18A1.2	lin-26	WBGene00003012	ZF - C2H2 - 1 finger				
F02E9.2	lin-28	WBGene00003014	COLD BOX				
W03C9.4	lin-29	WBGene00003015	ZF - C2H2 - 5 fingers				
K10G6.1	lin-31	WBGene00003017	WH - Fork Head				
T14F9.5	lin-32	WBGene00003018	bHLH				
F44B9.6	lin-36	WBGene00003021	"ZF - C2H2 - 1 finger, ZF - THAP"				
Y48E1B.7	lin-38	WBGene00013006	ZF - C2H2 - 1 finger				
C07H6.7	lin-39	WBGene00003024	HD - HOX				
T27C4.4	lin-40	WBGene00003025	"ZF - GATA, MYB"				
F34D10.5	lin-48	WBGene00003033	ZF - C2H2 - 4 fingers				
JC8.6	lin-54	WBGene00003037	TESMIN x2				
F18A1.3	lir-1	WBGene00003044	ZF - C2H2 - 1 finger				
F18A1.4	lir-2	WBGene00003045	ZF - C2H2 - 1 finger				
F37H8.1	lir-3	WBGene00003046	ZF - C2H2 - 1 finger				
F52F12.4	lsl-1	WBGene00009937	ZF - C2H2 - 5 fingers				
C52E12.6	lst-5	WBGene00016890	ZF - C2H2 - 4 fingers				
F49H12.1	lsy-2	WBGene00003087	ZF - C2H2 - 5 fingers				
F47H4.1	lsy-27	WBGene00009834	ZF - C2H2 - 2 fingers				
M03D4.4	M03D4.4	WBGene00019751	ZF - C2H2 - 6 fingers				
C32C4.5	mab-23	WBGene00003114	ZF - DM				
Y53C12B.5	mab-3	WBGene00003100	ZF - DM - 2 domains				
C08C3.3	mab-5	WBGene00003102	HD - HOX				
T27A1.6	mab-9	WBGene00003106	T-box				
Y55F3BR.5	madf-1	WBGene00021942	MADF				
Y106G6H.4	madf-10	WBGene00013717	MADF				
F36D1.1	madf-2	WBGene00009461	MADF				
H20J04.3	madf-3	WBGene00019218	MADF - 2 domains				
T07C12.11	madf-4	WBGene00011575	MADF				
C01G12.1	madf-5	WBGene00007242	MADF				
C46F11.3	madf-8	WBGene00008118	MADF				
ZC416.1	madf-9	WBGene00022608	MADF				
H21P03.1	mbf-1	WBGene00003148	HTH				
K02H8.1	mbl-1	WBGene00019347	ZF - CCCH - 2 domains				
T01C1.2	mbr-1	WBGene00011315	HTH				
Y51H1A.6	mcd-1	WBGene00013096	ZF - C2H2 - 1 finger				
R03E9.1	mdl-1	WBGene00003163	bHLH				
F01D4.6	mec-3	WBGene00003167	HD - LIM				
T24D3.1	med-1	WBGene00003180	ZF - GATA				
K04C2.6	med-2	WBGene00003181	ZF - GATA				
W10D5.1	mef-2	WBGene00003182	MADS box				
C38D4.3	mel-28	WBGene00003210	AT Hook x2				
M04B2.1	mep-1	WBGene00003218	ZF - C2H2 - 5 fingers				
W03C9.7	mex-1	WBGene00003228	ZF - CCCH - 2 domains				
W02A2.7	mex-5	WBGene00003230	ZF - CCCH - 2 domains				
AH6.5	mex-6	WBGene00003231	ZF - CCCH - 2 domains				
T05C12.6	mig-5	WBGene00003241	WH				
R13.4	miz-1	WBGene00011259	ZF - MIZ				
H14A12.4	mls-1	WBGene00003376	T-box				
C39E6.4	mls-2	WBGene00003377	HD - NK				
T20B12.6	mml-1	WBGene00003378	bHLH				
C10A4.8	mnm-2	WBGene00003380	ZF - C2H2 - 3 fingers				
F32A11.6	moe-3	WBGene00003388	ZF - CCCH - 2 domains				
T19B10.11	mxl-1	WBGene00003509	bHLH				
F40G9.11	mxl-2	WBGene00003510	bHLH				
F46G10.6	mxl-3	WBGene00003511	bHLH				
F59B10.1	myrf-1	WBGene00004134	p53				
F21A10.2	myrf-2	WBGene00008999	p53				
ZK1290.4	nfi-1	WBGene00003592	MH1				
C16A3.7	nfx-1	WBGene00007048	ZF - NF-X1 - 10 domains				
T08D10.1	nfya-1	WBGene00011614	CBF				
Y53H1A.5	nfya-2	WBGene00043056	CBF				
W10D9.4	nfyb-1	WBGene00021132	CBF				
F23F1.1	nfyc-1	WBGene00017742	CBF				
Y69A2AR.29	ngn-1	WBGene00003595	bHLH				
R09G11.2	nhr-1	WBGene00003600	ZF - NHR				
B0280.8	nhr-10	WBGene00003609	ZF - NHR				
C28D4.1	nhr-100	WBGene00003690	ZF - NHR				
H12C20.6	nhr-101	WBGene00003691	ZF - NHR				
T06C12.6	nhr-102	WBGene00003692	ZF - NHR				
