"","LE_1","LE_2","L1_1","L1_2","L3_1","L3_2","LE_IDR","L1_IDR","L3_IDR","summit_agreement","k4cluster","k11cluster","k4weights","k11weights","LE_nonNormed","L1_nonNormed","L3_nonNormed","LE_std","L1_std","L3_std","name","k4labels","variance","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest"
"ELT2peak00044",1.163499,1.358454,2.333424,2.613532,3.99178,4.506352,0,0,1,3,4,11,"0.626","1.000","1.261","2.473","4.249","-0.932","-0.125","1.057","ELT2peak00044","Increasing",2.25859191554275,"ELT2peak00044","WBGene00000434",565436,566414,"-","overlapEnd",708,28,"Overlapping"
"ELT2peak00045",2.187627,1.777608,1.895303,1.333424,1.769387,2.386058,0,0,1,15,0,0,"0.000","0.000","1.983","1.614","2.078","0.372","-1.133","0.761","ELT2peak00045","Not-changing or not IDR-passing",0.0598929220703333,"ELT2peak00045","WBGene00022027",636804,637852,"+","overlapStart",-419,254,"Overlapping"
"ELT2peak00046",1.392317,1.415037,3.226509,2.773996,3.019001,3.343623,0,0,1,36.5,4,8,"0.684","1.000","1.404","3.000","3.181","-1.150","0.482","0.667","ELT2peak00046","Increasing",0.956970343827584,"ELT2peak00046","WBGene00021215",680408,683472,"+","overlapStart",-1674,189,"Overlapping"
"ELT2peak00047",1.521953,1.067114,2.333424,1.526069,3.562936,3.386058,0,0,1,7.5,3,11,"0.681","1.000","1.295","1.930","3.474","-0.837","-0.270","1.107","ELT2peak00047","L3-high",1.25699842065858,"ELT2peak00047","WBGene00022518",803368,835277,"+","inside",-1074,14629,"Overlapping"
"ELT2peak00048",3.197007,3.054862,2.226509,2.526069,3.321928,3.862497,1,0,1,44.75,3,4,"0.503","1.000","3.126","2.376","3.592","0.154","-1.068","0.914","ELT2peak00048","L3-high",0.376308917801083,"ELT2peak00048","WBGene00022518",803368,835277,"+","inside",936,14642,"Overlapping"
"ELT2peak00049",3.807355,3.415038,1.9855,2.613532,2.184425,1.184425,1,0,0,179.5,1,1,"0.757","1.000","3.611","2.300","1.684","1.097","-0.236","-0.861","ELT2peak00049","LE-specific",0.96854851426225,"ELT2peak00049","WBGene00022518",803368,835277,"+","inside",10729,4372,"Overlapping"
"ELT2peak00051",2.485427,2.446064,1.333424,1.526069,2.321928,3.005455,1,0,0,15,1,4,"0.451","1.000","2.466","1.430","2.664","0.422","-1.142","0.720","ELT2peak00051","LE-specific",0.439182801657,"ELT2peak00051","WBGene00022388",853451,872103,"+","overlapStart",-9380,330,"Overlapping"
"ELT2peak00052",1.932886,2,2.15056,2.773996,2.769387,2.769387,0,0,1,65.5,4,10,"0.997","1.000","1.966","2.462","2.769","-1.069","0.155","0.913","ELT2peak00052","Increasing",0.164147892040333,"ELT2peak00052","WBGene00022388",853451,872103,"+","overlapEnd",9244,326,"Overlapping"
"ELT2peak00053",2.544321,2.736966,2.773996,2.526069,2.862497,3.906891,0,0,1,228,3,9,"0.993","1.000","2.641","2.650","3.385","-0.588","-0.566","1.155","ELT2peak00053","L3-high",0.18223780324225,"ELT2peak00053","WBGene00022389",873164,882713,"-","overlapEnd",4088,641,"Overlapping"
"ELT2peak00054",1.881356,1.86755,3.333424,3.43296,2.932886,3.506353,1,1,1,44.6666666666667,2,6,"0.646","1.000","1.874","3.383","3.220","-1.149","0.673","0.476","ELT2peak00054","Post-embryonic",0.685420374266583,"ELT2peak00054","WBGene00022389",873164,882713,"-","inside",-2012,2378,"Overlapping"
"ELT2peak00055",2.624491,2.652077,2.895303,3.028569,6.707987,6.89592,1,1,1,30.3333333333333,3,9,"0.994","1.000","2.638","2.962","6.802","-0.646","-0.506","1.152","ELT2peak00055","L3-high",5.36443812044008,"ELT2peak00055","WBGene00022389",873164,882713,"-","inside",-3740,646,"Overlapping"
"ELT2peak00056",2.070389,1.575502,2.38405,2.480265,6.246201,6.82828,1,1,1,78.5555555555426,3,9,"0.973","1.000","1.823","2.432","6.537","-0.692","-0.454","1.147","ELT2peak00056","L3-high",6.57457050747633,"ELT2peak00056","WBGene00022389",873164,882713,"-","overlapStart",-5034,171,"Overlapping"
"ELT2peak00057",0.807355,1.208587,2.847997,2.695994,2.703799,2.949959,0,0,1,1.5,4,8,"0.543","1.000","1.008","2.772","2.827","-1.154","0.551","0.604","ELT2peak00057","Increasing",1.07053682460608,"ELT2peak00057","WBGene00003548",943664,947710,"+","inside",434,1342,"Overlapping"
"ELT2peak00058",0.859822,0.736966,2.333424,1.847997,1.321928,1.447459,0,0,1,119.5,2,5,"0.936","1.000","0.798","2.091","1.385","-0.968","1.029","-0.062","ELT2peak00058","Post-embryonic",0.418714840693583,"ELT2peak00058","WBGene00003238",948569,957404,"-","inside",50,3899,"Overlapping"
"ELT2peak00059",2.273018,1.736966,3.280956,3.480265,3.525461,4.562936,1,0,1,46.75,4,10,"0.987","1.000","2.005","3.381","4.044","-1.094","0.228","0.866","ELT2peak00059","Increasing",1.08183974015475,"ELT2peak00059","WBGene00003238",948569,957404,"-","overlapStart",-4575,153,"Overlapping"
"ELT2peak00061",0.900464,1.119582,0.526069,1.189034,1.949959,2.862496,0,0,1,62.5,3,7,"0.948","1.000","1.010","0.858","2.406","-0.486","-0.664","1.150","ELT2peak00061","L3-high",0.728505319518083,"ELT2peak00061","WBGene00018787",963700,969426,"-","overlapEnd",2583,134,"Overlapping"
"ELT2peak00062",1.938599,1.607682,2.613532,2.43296,1.949959,2.386058,0,0,1,18.5,2,5,"0.969","1.000","1.773","2.523","2.168","-1.017","0.982","0.035","ELT2peak00062","Post-embryonic",0.140795446660083,"ELT2peak00062","WBGene00018787",963700,969426,"-","inside",1546,755,"Overlapping"
"ELT2peak00063",1.165809,1.530515,2.43296,2.111031,3.147899,3.862496,0,0,1,2.5,4,11,"0.695","1.000","1.348","2.272","3.505","-0.949","-0.095","1.044","ELT2peak00063","Increasing",1.17117627613108,"ELT2peak00063","WBGene00018788",969089,976550,"-","inside",-483,2899,"Overlapping"
"ELT2peak00066",1.14439,1.040642,4.18428,4.592158,5.520708,6.025727,0,1,1,7.5,4,10,"0.969","1.000","1.093","4.388","5.773","-1.106","0.265","0.841","ELT2peak00066","Increasing",5.78147427355225,"ELT2peak00066","WBGene00236808",1015204,1015731,"-","overlapEnd",328,173,"Overlapping"
"ELT2peak00067",1.13993,1.415037,2.526069,1.847997,2.184424,2.321928,0,0,1,18.5,4,8,"0.617","1.000","1.277","2.187","2.253","-1.153","0.516","0.637","ELT2peak00067","Increasing",0.29727184065925,"ELT2peak00067","WBGene00005002",1016403,1017180,"+","overlapStart",-144,17,"Overlapping"
"ELT2peak00069",1.63743,1.263034,3.280956,4.080658,3.884864,4.548997,0,0,1,26,4,8,"0.846","1.000","1.450","3.681","4.217","-1.135","0.385","0.750","ELT2peak00069","Increasing",2.15291897129658,"ELT2peak00069","WBGene00021327",1019827,1029910,"-","inside",3308,1494,"Overlapping"
"ELT2peak00070",1.600904,1.815575,2.675816,2.754888,5.110424,5.682675,0,0,1,1,3,11,"0.733","1.000","1.708","2.715","5.397","-0.821","-0.293","1.114","ELT2peak00070","L3-high",3.63445437962708,"ELT2peak00070","WBGene00021327",1019827,1029910,"-","inside",2626,2222,"Overlapping"
"ELT2peak00071",1.981384,1.662965,1.263034,1.432959,3.184425,2.769387,0,0,1,20.5,3,7,"0.799","1.000","1.822","1.348","2.977","-0.271","-0.837","1.108","ELT2peak00071","L3-high",0.701932628661083,"ELT2peak00071","WBGene00021327",1019827,1029910,"-","overlapStart",-5633,41,"Overlapping"
"ELT2peak00072",2.807355,2.874469,2.333424,1.9855,3.184425,3.447459,1,0,1,15.75,3,4,"0.527","1.000","2.841","2.159","3.316","0.118","-1.054","0.936","ELT2peak00072","L3-high",0.337912265633333,"ELT2peak00072","WBGene00021329",1034443,1040868,"+","overlapStart",-3200,370,"Overlapping"
"ELT2peak00074",1.122857,0.967579,2.918386,3.38405,2.525461,3.058894,0,0,1,14,2,6,"0.769","1.000","1.045","3.151","2.792","-1.140","0.729","0.411","ELT2peak00074","Post-embryonic",1.26933559588008,"ELT2peak00074","WBGene00021331",1049596,1050727,"+","overlapEnd",818,104,"Overlapping"
"ELT2peak00075",1.369234,1.063565,3.049631,3.480265,5.147899,5.656913,0,0,1,16,4,11,"0.854","1.000","1.216","3.265","5.402","-0.993","-0.014","1.007","ELT2peak00075","Increasing",4.38132134610975,"ELT2peak00075","WBGene00021333",1050921,1053826,"-","inside",-42,1117,"Overlapping"
"ELT2peak00076",1.736966,1.208587,1.9855,1.333424,2.669852,2.669852,0,0,1,187,3,9,"0.951","1.000","1.473","1.659","2.670","-0.716","-0.426","1.143","ELT2peak00076","L3-high",0.414788196785083,"ELT2peak00076","WBGene00021333",1050921,1053826,"-","overlapStart",-1393,499,"Overlapping"
"ELT2peak00077",2.145771,1.914608,2.918386,2.43296,3.110424,3.491853,1,1,1,93,4,10,"0.890","1.000","2.030","2.676","3.301","-1.005","0.010","0.995","ELT2peak00077","Increasing",0.403861233510583,"ELT2peak00077","WBGene00021334",1053894,1066899,"-","overlapStart",-6598,345,"Overlapping"
"ELT2peak00078",1.461179,1.678072,1.941106,1.818851,4.477206,4.991779,1,0,1,21.5,3,9,"0.989","1.000","1.570","1.880","4.734","-0.664","-0.486","1.150","ELT2peak00078","L3-high",3.04349204808233,"ELT2peak00078","WBGene00001745",1068484,1075010,"+","overlapStart",-3243,408,"Overlapping"
"ELT2peak00079",2.850424,2.813587,2.028569,1.333424,3.90689,4.35435,0,0,1,9.5,3,4,"0.634","1.000","2.832","1.681","4.131","-0.040","-0.979","1.019","ELT2peak00079","L3-high",1.50197943824058,"ELT2peak00079","WBGene00001745",1068484,1075010,"+","inside",-1801,1095,"Overlapping"
"ELT2peak00081",1.807355,1.415037,3.280956,3.169925,2.669852,3.862497,0,0,1,0.5,4,8,"0.532","1.000","1.611","3.225","3.266","-1.154","0.556","0.599","ELT2peak00081","Increasing",0.89106639999975,"ELT2peak00081","WBGene00021689",1136371,1154386,"-","overlapStart",-8960,299,"Overlapping"
"ELT2peak00082",1.970854,2.471621,1.695994,1.748461,2.816693,3.562936,1,0,1,7.75,3,7,"0.754","1.000","2.221","1.722","3.190","-0.210","-0.878","1.088","ELT2peak00082","L3-high",0.556827331266333,"ELT2peak00082","WBGene00000165",1154511,1156020,"-","overlapStart",-1106,122,"Overlapping"
"ELT2peak00083",0.991067,0.929611,2.847997,2.9855,2.254814,2.321928,0,0,1,3.5,2,6,"0.958","1.000","0.960","2.917","2.288","-1.096","0.863","0.233","ELT2peak00083","Post-embryonic",0.997677567870083,"ELT2peak00083","WBGene00021687",1157571,1162939,"+","overlapStart",-2285,9,"Overlapping"
"ELT2peak00084",4.30212,4.277534,2.226509,2.495695,2.769387,3.343623,1,0,1,32.25,1,3,"0.952","1.000","4.290","2.361","3.057","1.079","-0.895","-0.184","ELT2peak00084","LE-specific",0.954108102286334,"ELT2peak00084","WBGene00001816",1162880,1175868,"-","overlapStart",-6626,242,"Overlapping"
"ELT2peak00085",2.049556,1.830075,3.226509,2.847997,2.862497,2.669852,1,0,0,77.5,2,6,"0.889","1.000","1.940","3.037","2.766","-1.122","0.798","0.324","ELT2peak00085","Post-embryonic",0.32678696940825,"ELT2peak00085","WBGene00021685",1211485,1254669,"+","inside",-19409,1799,"Overlapping"
"ELT2peak00086",1.485427,1.230613,1.613532,1.918386,3.769387,4.254814,0,0,1,41,3,9,"0.953","1.000","1.358","1.766","4.012","-0.714","-0.429","1.143","ELT2peak00086","L3-high",2.04261819437058,"ELT2peak00086","WBGene00021685",1211485,1254669,"+","inside",-9249,11959,"Overlapping"
"ELT2peak00087",1.517848,1.599462,1.799087,1.883621,3.208271,4.005455,0,0,1,29,3,9,"0.966","1.000","1.559","1.841","3.607","-0.700","-0.445","1.145","ELT2peak00087","L3-high",1.232016127491,"ELT2peak00087","WBGene00021691",1223957,1229282,"-","inside",148,2173,"Overlapping"
"ELT2peak00088",1.949374,1.929611,2.9855,2.811471,5.401655,5.732861,1,0,1,19.25,3,9,"0.756","1.000","1.939","2.898","5.567","-0.813","-0.303","1.117","ELT2peak00088","L3-high",3.53378279229925,"ELT2peak00088","WBGene00021691",1223957,1229282,"-","inside",-1606,671,"Overlapping"
"ELT2peak00089",1.185866,0.802061,1.15056,1.432959,2.184425,3.066369,0,0,1,45,3,9,"0.919","1.000","0.994","1.292","2.625","-0.740","-0.397","1.138","ELT2peak00089","L3-high",0.75480778399075,"ELT2peak00089","WBGene00021691",1223957,1229282,"-","overlapStart",-2901,110,"Overlapping"
"ELT2peak00090",1.47032,1.745186,3.111032,3.480265,2.471306,2.730393,1,0,1,26.875,2,6,"0.982","1.000","1.608","3.296","2.601","-1.053","0.936","0.117","ELT2peak00090","Post-embryonic",0.71966292127225,"ELT2peak00090","WBGene00021685",1211485,1254669,"+","inside",18623,2584,"Overlapping"
"ELT2peak00094",2.292782,2.093109,2.43296,2.613532,3.506353,2.862497,0,0,1,16,3,11,"0.549","1.000","2.193","2.523","3.184","-0.873","-0.218","1.091","ELT2peak00094","L3-high",0.254881281543583,"ELT2peak00094","WBGene00003400",1305562,1328348,"+","overlapStart",-10943,625,"Overlapping"
"ELT2peak00095",0.756729,1.245112,2.526069,2.43296,2.321928,2.447459,0,0,1,9.5,2,6,"0.553","1.000","1.001","2.480","2.385","-1.153","0.634","0.519","ELT2peak00095","Post-embryonic",0.685009825734333,"ELT2peak00095","WBGene00003400",1305562,1328348,"+","inside",4653,6005,"Overlapping"
"ELT2peak00097",2.656795,2.790547,2.43296,2.722466,5.091315,5.707987,1,1,1,26.9444444444962,3,7,"0.972","1.000","2.724","2.578","5.400","-0.531","-0.623","1.153","ELT2peak00097","L3-high",2.52425112900133,"ELT2peak00097","WBGene00019674",1335321,1336867,"+","overlapStart",-636,232,"Overlapping"
"ELT2peak00098",1.807355,2.058894,2.9855,2.847997,3.581315,4.097713,1,0,1,34,4,10,"0.905","1.000","1.933","2.917","3.840","-1.010","0.021","0.989","ELT2peak00098","Increasing",0.908888877846083,"ELT2peak00098","WBGene00045052",1337012,1338216,"+","overlapStart",-660,326,"Overlapping"
"ELT2peak00099",1.938599,1.584963,2.526069,2.226508,3.184425,3.321928,0,0,1,54,4,11,"0.646","1.000","1.762","2.376","3.253","-0.937","-0.117","1.053","ELT2peak00099","Increasing",0.561802094920084,"ELT2peak00099","WBGene00045053",1338749,1339773,"+","overlapStart",-795,85,"Overlapping"
"ELT2peak00103",4.058894,4.058894,2.226508,1.847997,3.562936,3.884864,0,0,1,32,1,3,"0.713","1.000","4.059","2.037","3.724","0.725","-1.141","0.416","ELT2peak00103","LE-specific",1.17400585396908,"ELT2peak00103","WBGene00022366",1365309,1376409,"+","inside",-1967,3308,"Overlapping"
"ELT2peak00104",2.600904,2.067114,2.226508,2.226508,1.184425,1.525461,1,0,0,40,1,1,"0.466","1.000","2.334","2.227","1.355","0.675","0.474","-1.149","ELT2peak00104","LE-specific",0.288292041097,"ELT2peak00104","WBGene00022367",1385818,1392759,"-","overlapStart",-3876,26,"Overlapping"
"ELT2peak00105",2.888655,2.913843,1.9855,2.226508,2.769387,3.386058,1,0,1,83.5,1,4,"0.433","1.000","2.901","2.106","3.078","0.398","-1.138","0.739","ELT2peak00105","LE-specific",0.267965724911583,"ELT2peak00105","WBGene00022369",1416586,1425201,"+","overlapStart",-4730,26,"Overlapping"
"ELT2peak00107",2.371256,2.415038,1.9855,2.613532,2.599462,3.110424,1,0,1,500,0,0,"0.000","0.000","2.393","2.300","2.855","-0.413","-0.728","1.140","ELT2peak00107","Not-changing or not IDR-passing",0.0884202436843333,"ELT2peak00107","WBGene00018159",1442048,1443942,"-","overlapStart",-849,747,"Overlapping"
"ELT2peak00108",3.461858,3.159199,2.711935,2.695994,3.928586,4.417085,1,1,1,26.1666666666667,3,7,"0.687","1.000","3.311","2.704","4.173","-0.115","-0.937","1.053","ELT2peak00108","L3-high",0.544845877164333,"ELT2peak00108","WBGene00004969",1446497,1465358,"+","inside",-8734,290,"Overlapping"
"ELT2peak00109",2.517848,2.530515,2.111031,2.613532,1.862497,1.184425,1,0,0,43.5,1,1,"0.488","1.000","2.524","2.362","1.523","0.721","0.420","-1.142","ELT2peak00109","LE-specific",0.288545493390083,"ELT2peak00109","WBGene00001773",1451122,1453077,"-","inside",433,220,"Overlapping"
"ELT2peak00110",3.379934,3.415037,0.847997,1.799087,2.486987,2.147899,1,0,1,49.75,1,3,"0.931","1.000","3.397","1.324","2.317","1.014","-0.986","-0.028","ELT2peak00110","LE-specific",1.07592877346658,"ELT2peak00110","WBGene00005077",1566929,1580196,"+","inside",2320,3903,"Overlapping"
"ELT2peak00111",3.292782,2.900465,2.43296,2.43296,3.949959,4.417085,1,0,1,30,3,7,"0.718","1.000","3.097","2.433","4.184","-0.160","-0.911","1.070","ELT2peak00111","L3-high",0.781044151063083,"ELT2peak00111","WBGene00022270",1581394,1593668,"+","overlapStart",-6210,227,"Overlapping"
"ELT2peak00112",1.807355,1.900464,2.526069,2.333424,1.184425,1.032421,1,0,0,235,2,2,"0.416","1.000","1.854","2.430","1.108","0.085","0.955","-1.040","ELT2peak00112","Post-embryonic",0.438872360650583,"ELT2peak00112","WBGene00022270",1581394,1593668,"+","inside",-2709,2795,"Overlapping"
"ELT2peak00113",2.105036,1.415037,2.526069,2.613532,1.801096,3.005455,1,0,1,2.5,2,6,"0.830","1.000","1.760","2.570","2.403","-1.133","0.761","0.372","ELT2peak00113","Post-embryonic",0.182867453740333,"ELT2peak00113","WBGene00022270",1581394,1593668,"+","inside",875,4878,"Overlapping"
