WBGeneID,Sequence.name,Public_name,tintori_2Ep_p.value,tintori_2Ep_log.CPM,tintori_2Ep_log.FC,pauli_L4_percentile,pauli_L4_pvalue,pauli_L4_description,spencer_LE_AveExpr,spencer_LE_adj_P_Val,spencer_LE_FC,spencer_L2_AveExpr,spencer_L2_adj_P_Val,spencer_L2_FC,tintori_2Ep_bool,hashimshony_embryo_bool,pauli_L4_bool,spencer_LE_bool,spencer_L2_bool
WBGene00000055,F25G6.3,acr-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000056,F53E10.2,acr-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000057,F28F8.1,acr-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000058,C31H5.3,acr-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000059,R06A4.10,acr-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000060,F27B3.2,acr-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000061,F48E3.7,lgc-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000062,F59B1.9,acr-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000063,T04C12.6,act-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000064,T04C12.5,act-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000065,T04C12.4,act-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000066,M03F4.2,act-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000067,T25C8.2,act-5,NA,NA,NA,NA,NA,NA,11.63,0,4.21,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE
WBGene00000068,F17C8.1,acy-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000069,C10F3.3,acy-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000070,C44F1.5,acy-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000071,T01C2.1,acy-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000072,F39C12.2,add-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000073,F57F5.4,add-2,NA,NA,NA,NA,NA,NA,10.02,0,2.67,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
WBGene00000074,C04A11.4,adm-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000075,ZK154.7,adm-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000079,H15N14.1,adr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000080,T20H4.4,adr-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000081,Y50D7A.7,ads-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000082,C02B4.1,adt-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000083,F08C6.1,adt-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000084,D2030.10,aex-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.65,0,2.33,FALSE,FALSE,FALSE,FALSE,TRUE
WBGene00000085,T14B1.2,aex-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000086,C02H7.3,aex-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000088,F32A7.6,aex-5,NA,NA,NA,0.979165172,4.37212e-4,neuroendocrine convertase 2 precursor like,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000089,Y87G2A.4,aex-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000090,B0334.8,age-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000092,F32A6.4,ags-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000093,Y62E10A.5,agt-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000094,F09E5.13,agt-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000095,C25A1.11,aha-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000096,C41G7.5,ahr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000097,F58E10.4,aip-1,NA,NA,NA,0.914877707,1.1515e-7,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000098,K07C11.2,air-1,NA,NA,NA,NA,NA,NA,9.8,0,2.57,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
WBGene00000099,B0207.4,air-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000100,C25A11.4,ajm-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000101,D1022.7,aka-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000102,C12D8.10,akt-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000103,F28H6.1,akt-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000105,F48F7.1,alg-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000106,T07D3.7,alg-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000107,F54D8.3,alh-1,NA,NA,NA,0.830277609,2.793e-4,Aldehyde dehydrogenase 2,10.78,0,4.02,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE
WBGene00000108,K04F1.15,alh-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000109,F36H1.6,alh-3,NA,NA,NA,NA,NA,NA,10.28,0,2.96,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
WBGene00000110,T05H4.13,alh-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000111,T08B1.3,alh-5,NA,NA,NA,NA,NA,NA,8.08,0,2.01,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE
WBGene00000112,F56D12.1,alh-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000113,F45H10.1,alh-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000114,F13D12.4,alh-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000115,F01F1.6,alh-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000116,C54D1.4,alh-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
WBGene00000117,F42G9.5,alh-11,NA,NA,NA,0.874692247,4.10897e-5,betaine-aldehyde dehydrogenase,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000118,Y69F12A.2,alh-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
WBGene00000120,C01F6.5,aly-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000121,F23B2.6,aly-2,NA,NA,NA,0.786020941,1.06186e-5,vimentin like,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000122,M18.7,aly-3,NA,NA,NA,0.956138437,3.10612e-7,"RNA recognition motif. (aka RRM, RBD, or RNP domain)",NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000123,F36A4.7,ama-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000133,C05E11.4,amt-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000134,F49E11.3,amt-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000135,M195.3,amt-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000136,C05E11.5,amt-4,NA,NA,NA,NA,NA,NA,9.2,0,2.03,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
WBGene00000137,R13G10.2,amx-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000138,B0019.1,amx-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000139,F25C8.2,amx-3,NA,NA,NA,NA,NA,NA,7.52,0,2.13,7.52,0,2.14,FALSE,FALSE,FALSE,TRUE,TRUE
WBGene00000140,ZK973.6,anc-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000142,C08B6.9,aos-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000143,K06H7.6,apc-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000144,F15H10.3,apc-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000145,F35G12.9,apc-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000146,F46F3.4,ape-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000147,VF36H2L.1,aph-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000148,ZC434.6,aph-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000149,C42D8.8,apl-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000150,F55A12.7,apm-1,NA,NA,NA,0.892878304,1.53072e-4,clathrin coat assembly protein complex 1 medium chain,11.12,0,2.2,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE
WBGene00000151,T05H10.2,apn-1,NA,NA,NA,0.833460362,1.95529e-11,AP endonuclease (family 2),NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000155,W03G9.4,app-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000156,K04G2.8,apr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000157,F02E8.3,aps-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000158,Y105E8A.9,apg-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000159,F29G9.3,aps-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.52,0,2.42,FALSE,FALSE,FALSE,FALSE,TRUE
WBGene00000160,Y71H2B.10,apb-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000161,T20B5.1,apa-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000162,W09G10.4,apd-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000163,R11A5.1,apb-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000164,F53H8.1,apm-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000165,Y48G8AL.14,aps-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000166,W04G3.4,apt-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000168,K08D9.3,apx-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000169,F32A5.5,aqp-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35,0.01,2.45,FALSE,FALSE,FALSE,FALSE,TRUE
WBGene00000170,C01G6.1,aqp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000171,Y69E1A.7,aqp-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000172,F40F9.9,aqp-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
WBGene00000173,C35A5.1,aqp-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000174,C32C4.2,aqp-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000175,M02F4.8,aqp-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000176,K02G10.7,aqp-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000177,K07A1.16,aqp-9,NA,NA,NA,NA,NA,NA,9.08,0.03,2.04,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
WBGene00000178,ZK1321.3,aqp-10,NA,NA,NA,0.885414761,1.23186e-10,NA,9.83,0,3.85,9.83,0,2.66,FALSE,FALSE,TRUE,TRUE,TRUE
WBGene00000179,ZK525.2,aqp-11,NA,NA,NA,0.911148331,3.86138e-6,NA,NA,NA,NA,9.23,0,2.26,FALSE,FALSE,TRUE,FALSE,TRUE
WBGene00000180,ZK1320.6,arc-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000181,F01G4.2,ard-1,NA,NA,NA,0.904290701,2.31059e-5,short-chain alcohol dehydrogenase,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000182,B0336.2,arf-1.2,NA,NA,NA,0.869983647,8.64942e-4,ARF,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000183,F57H12.1,arf-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000184,Y116A8C.12,arf-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000185,F31A9.3,arg-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000186,C01C7.1,ark-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000187,F54C9.10,arl-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
