geneSym,geneID,refID,chrom,strand,Unsorted (RPM),Sorted (RPM),P-value,Group 1
F20G4.3,172562,nmy-2,chrI,-,313.42,74.95,3.02E-177,Unsorted
F54D8.1,175696,dpy-17,chrIII,+,942.97,461.78,3.62E-174,Unsorted
T14B1.1,181181,T14B1.1,chrX,-,479.33,170.28,4.77E-168,Unsorted
F29B9.6,3565767,ubc-9,chrIV,+,780.84,359.87,2.12E-167,Unsorted
F02A9.2,176283,far-1,chrIII,-,296.21,75.58,1.84E-157,Unsorted
B0261.7,172169,B0261.7,chrI,-,638.74,277.49,4.41E-156,Unsorted
T24G10.2,175747,T24G10.2,chrIII,-,207.14,35.03,3.11E-154,Unsorted
ZK546.17,3565644,cblc-1,chrII,-,336.90,98.73,1.01E-153,Unsorted
C16A3.4,175905,C16A3.4,chrIII,+,405.63,140.13,1.44E-148,Unsorted
D1054.10,179496,D1054.10,chrV,-,485.93,191.51,1.09E-143,Unsorted
F54E12.2,178054,helicase,chrIV,-,523.70,215.50,7.06E-143,Unsorted
M28.5,174645,M28.5,chrII,-,762.01,377.28,4.16E-137,Unsorted
B0034.3,174006,casy-1,chrII,-,533.12,227.18,7.68E-136,Unsorted
Y55D9A.1,178217,efa-6,chrIV,-,271.00,77.92,8.72E-127,Unsorted
C27D11.1,176094,egl-45,chrIII,-,436.58,174.31,2.80E-126,Unsorted
F27C8.6,177791,esterase,chrIV,-,259.74,74.73,1.58E-121,Unsorted
T02H6.11,173459,T02H6.11,chrII,-,241.88,68.15,5.64E-116,Unsorted
H06H21.3,177254,H06H21.3,chrIV,+,307.58,105.94,1.40E-113,Unsorted
C10G11.9,172325,C10G11.9,chrI,-,199.35,47.98,1.03E-112,Unsorted
K08H10.1,3564838,lea-1,chrV,+,481.17,215.71,1.74E-110,Unsorted
F11G11.11,173840,col-20,chrII,-,189.18,44.16,3.92E-110,Unsorted
Y67H2A.5,178288,Y67H2A.5,chrIV,+,566.99,274.73,2.40E-108,Unsorted
C27A2.4,182948,C27A2.4,chrII,-,90.91,5.10,8.89E-107,Unsorted
T04C12.5,179534,act-2,chrV,-,566.99,277.92,3.83E-105,Unsorted
F42E11.4,181329,tni-1,chrX,-,373.70,152.65,6.52E-104,Unsorted
F30F8.3,172549,F30F8.3,chrI,+,242.53,75.16,8.30E-104,Unsorted
ZK1010.7,176721,col-97,chrIII,-,560.39,275.58,4.18E-103,Unsorted
Y60A3A.13,180303,frs-3,chrV,-,404.44,173.25,2.09E-102,Unsorted
F56D2.1,175772,ucr-1,chrIII,+,207.68,57.96,7.94E-101,Unsorted
F52B5.2,172614,F52B5.2,chrI,-,170.45,39.49,5.17E-100,Unsorted
Y47D7A.1,178840,skr-7,chrV,+,352.81,143.31,3.71E-99,Unsorted
C18E9.10,174427,C18E9.10,chrII,-,350.54,145.22,5.83E-95,Unsorted
F01G12.5,181708,let-2,chrX,-,295.13,111.25,7.16E-95,Unsorted
C34H4.4,176961,col-107,chrIV,+,456.17,214.44,3.64E-94,Unsorted
D1086.6,179904,D1086.6,chrV,+,329.00,132.48,3.96E-94,Unsorted
B0244.8,175804,egg-1,chrIII,+,312.55,122.93,2.66E-93,Unsorted
ZC373.7,181219,col-176,chrX,+,444.05,209.98,2.39E-90,Unsorted
F10G7.8,173807,rpn-5,chrII,-,326.41,134.39,1.20E-89,Unsorted
C01G8.5,172174,erm-1,chrI,-,229.55,77.07,2.23E-88,Unsorted
F46C8.6,181013,dpy-7,chrX,-,233.23,81.10,2.52E-85,Unsorted
F54D12.4,173515,F54D12.4,chrII,-,195.89,62.85,1.49E-80,Unsorted
H05L03.3,180857,H05L03.3,chrX,+,314.18,134.18,1.82E-80,Unsorted
R07E5.2,175573,prdx-3,chrIII,+,353.35,160.30,1.57E-79,Unsorted
Y57G11B.5,178391,Y57G11B.5,chrIV,+,269.81,107.43,3.90E-79,Unsorted
K07A1.12,172802,lin-53,chrI,-,212.01,72.82,4.03E-79,Unsorted
F25H5.3,172744,F25H5.3,chrI,+,156.93,43.52,3.55E-77,Unsorted
K12D12.1,174825,top-2,chrII,+,201.52,68.58,2.26E-76,Unsorted
ZK813.2,191428,ZK813.2,chrX,+,309.31,136.73,7.80E-74,Unsorted
Y47D3B.5,176572,twk-31,chrIII,+,350.87,165.18,1.41E-72,Unsorted
F56D12.5,173512,vig-1,chrII,+,342.64,160.51,9.06E-72,Unsorted
M195.1,174336,col-77,chrII,-,235.82,92.36,1.99E-71,Unsorted
K11G9.5,179059,K11G9.5,chrV,-,176.73,57.54,2.22E-71,Unsorted
ZC13.4,180440,mab-7,chrX,-,251.41,102.34,5.92E-71,Unsorted
C09E8.2,173446,lips-7,chrII,+,49.46,0.85,5.88E-70,Unsorted
R06F6.11,174660,tag-209,chrII,+,270.24,115.07,7.92E-70,Unsorted
MTCE.23,NA,NA,chrM,+,373.38,184.08,7.56E-69,Unsorted
ZK632.2,176386,ZK632.2,chrIII,+,201.30,73.89,4.02E-68,Unsorted
F23F12.6,175925,rpt-3,chrIII,+,281.93,124.20,5.97E-68,Unsorted
F15A2.5,184508,efn-3,chrX,-,147.40,43.52,1.40E-67,Unsorted
K07H8.10,177621,K07H8.10,chrIV,-,203.35,77.92,3.80E-64,Unsorted
T05C12.10,174319,qua-1,chrII,+,163.42,54.56,6.78E-64,Unsorted
F59D8.1,180647,vit-3,chrX,-,325.87,159.66,2.85E-61,Unsorted
B0222.8,179298,col-10,chrV,-,175.87,63.69,7.15E-61,Unsorted
C04G2.8,177877,C04G2.8,chrIV,-,186.90,71.34,1.86E-59,Unsorted
T05F1.2,172804,T05F1.2,chrI,+,182.90,69.64,1.67E-58,Unsorted
F15H10.1,179453,col-12,chrV,-,130.19,41.61,2.55E-54,Unsorted
C49F5.6,181372,C49F5.6,chrX,+,86.36,18.90,5.15E-54,Unsorted
JC8.12,178283,JC8.12,chrIV,+,149.46,52.87,5.48E-54,Unsorted
Y46G5A.22,174917,Y46G5A.22,chrII,-,241.23,111.04,4.19E-53,Unsorted
Y71H2AM.20,175395,Y71H2AM.20,chrIII,-,158.33,59.87,2.00E-51,Unsorted
ZK1290.3,174226,rol-8,chrII,+,115.48,35.46,8.37E-51,Unsorted
F58G1.1,174932,F58G1.1,chrII,+,72.84,14.01,1.11E-50,Unsorted
T14G10.4,188506,ttr-54,chrIV,+,137.23,47.98,1.46E-50,Unsorted
K10C9.7,187261,K10C9.7,chrV,-,81.93,18.90,4.36E-49,Unsorted
C46H11.9,172130,phat-2,chrI,-,176.95,73.25,7.06E-49,Unsorted
T13F2.2,188475,T13F2.2,chrIV,-,250.43,121.66,1.59E-48,Unsorted
F54C9.8,174373,puf-5,chrII,+,141.02,51.80,4.23E-48,Unsorted
F53F4.10,179850,F53F4.10,chrV,-,108.23,33.55,2.86E-47,Unsorted
Y73F4A.1,177723,Y73F4A.1,chrIV,-,135.17,49.47,1.60E-46,Unsorted
T08G5.5,179902,vps-39,chrV,-,184.42,80.04,2.33E-46,Unsorted
C30G7.4,3564843,C30G7.4,chrV,-,87.77,23.14,2.71E-46,Unsorted
C44H4.3,181555,sym-1,chrX,+,178.46,76.43,3.72E-46,Unsorted
T27E7.1,178390,T27E7.1,chrIV,+,172.73,72.82,4.27E-46,Unsorted
F20B6.8,180695,hpk-1,chrX,-,189.50,84.08,1.61E-45,Unsorted
K08E3.6,176815,cyk-4,chrIII,-,166.13,70.70,1.40E-43,Unsorted
F47B8.11,3565447,sss-2,chrV,+,230.63,113.59,2.95E-43,Unsorted
F43G6.3,185714,F43G6.3,chrII,+,160.06,67.30,4.31E-43,Unsorted
F53H4.2,181673,F53H4.2,chrX,+,213.42,102.34,7.08E-43,Unsorted
H14E04.2,175356,H14E04.2,chrIII,+,132.58,50.53,1.07E-42,Unsorted
C27A2.3,173872,ify-1,chrII,-,140.15,55.20,1.22E-42,Unsorted
C10H11.10,172090,kca-1,chrI,-,179.33,80.04,1.27E-42,Unsorted
C09G5.5,174652,col-80,chrII,+,108.87,36.73,1.93E-42,Unsorted
ZK1248.6,173983,msp-64,chrII,-,149.89,61.57,2.93E-42,Unsorted
T12D8.9,176795,T12D8.9,chrIII,+,229.87,114.86,1.29E-41,Unsorted
R05D8.11,187610,R05D8.11,chrV,-,74.03,18.68,5.58E-41,Unsorted
F59D8.2,180646,vit-4,chrX,-,214.94,105.31,5.71E-41,Unsorted
T09E8.2,179800,him-17,chrV,+,116.23,42.04,6.44E-41,Unsorted
F07D3.2,179327,flp-6,chrV,+,75.43,19.75,3.04E-40,Unsorted
K01C8.3,174327,tdc-1,chrII,+,171.00,77.49,2.16E-39,Unsorted
F32B6.5,177843,sss-1,chrIV,-,129.76,51.80,1.14E-38,Unsorted
C36C9.3,183273,fbxa-170,chrX,-,198.81,96.82,1.24E-38,Unsorted
C01G8.1,172170,C01G8.1,chrI,-,155.19,67.94,1.46E-38,Unsorted
C55C3.3,177347,C55C3.3,chrIV,+,182.47,85.99,2.01E-38,Unsorted
C42C1.8,178179,C42C1.8,chrIV,+,78.68,22.72,8.48E-38,Unsorted
C42D4.3,177492,C42D4.3,chrIV,+,115.69,43.95,9.69E-38,Unsorted
Y50E8A.4,179976,unc-61,chrV,-,48.81,8.49,7.84E-37,Unsorted
K02F2.1,172409,dpf-3,chrI,+,172.84,81.32,1.25E-36,Unsorted
R10E4.4,175552,mcm-5,chrIII,-,189.29,92.99,5.37E-36,Unsorted
B0222.6,179296,col-144,chrV,-,108.55,40.98,9.07E-36,Unsorted
Y57A10A.23,174863,Y57A10A.23,chrII,+,154.55,70.28,1.57E-35,Unsorted
Y62H9A.3,181363,Y62H9A.3,chrX,-,114.39,44.80,2.06E-35,Unsorted
T21D12.2,176846,dpy-9,chrIV,-,152.16,68.79,2.09E-35,Unsorted
F19H6.4,184699,F19H6.4,chrX,+,99.78,36.09,2.15E-35,Unsorted
Y75B12B.1,190716,Y75B12B.1,chrV,+,121.54,49.47,4.75E-35,Unsorted
Y97E10C.1,259630,Y97E10C.1,chrV,+,140.91,62.00,7.16E-35,Unsorted
Y69A2AR.21,177037,Y69A2AR.21,chrIV,-,94.26,33.55,2.44E-34,Unsorted
F18A1.5,174238,rpa-1,chrII,+,165.91,79.41,7.03E-34,Unsorted
ZK973.1,172040,ZK973.1,chrI,+,126.95,54.14,1.37E-33,Unsorted
C50C3.9,176155,unc-36,chrIII,-,163.85,79.19,1.20E-32,Unsorted
R06C7.1,172463,R06C7.1,chrI,+,110.28,44.59,1.92E-32,Unsorted
ZK892.1,174557,lec-3,chrII,+,165.37,80.47,1.94E-32,Unsorted
F53H1.4,176944,F53H1.4,chrIV,+,74.35,23.35,2.25E-32,Unsorted
Y42H9B.3,189844,Y42H9B.3,chrIV,-,95.45,36.09,1.24E-31,Unsorted
C09G5.3,174650,col-79,chrII,+,66.45,19.75,3.84E-31,Unsorted
F56D1.7,173931,daz-1,chrII,+,57.14,14.86,4.57E-31,Unsorted
R04F11.3,179688,R04F11.3,chrV,-,147.51,69.85,5.59E-31,Unsorted
F35C12.3,185275,F35C12.3,chrI,-,39.50,6.58,6.16E-31,Unsorted
F38A3.1,174686,col-81,chrII,-,38.96,6.37,7.30E-31,Unsorted
ZK813.1,180636,ZK813.1,chrX,+,121.97,53.29,8.86E-31,Unsorted
ZK484.5,172289,ZK484.5,chrI,-,133.33,60.72,8.97E-31,Unsorted
K07D4.8,173743,pqn-48,chrII,+,70.24,22.29,3.16E-30,Unsorted
ZC416.2,191168,ZC416.2,chrIV,+,152.27,73.89,3.71E-30,Unsorted
T27A10.6,180649,T27A10.6,chrX,-,83.98,30.36,4.88E-30,Unsorted
C16C8.4,182671,C16C8.4,chrII,-,146.32,70.49,1.61E-29,Unsorted
K09E4.1,175067,K09E4.1,chrII,+,67.32,21.23,2.90E-29,Unsorted
Y58G8A.1,178554,lgc-26,chrV,+,90.48,34.82,3.58E-29,Unsorted
W05G11.6,175171,W05G11.6,chrIII,-,85.28,31.85,6.44E-29,Unsorted
F28B3.7,172116,him-1,chrI,-,76.19,26.54,8.45E-29,Unsorted
Y56A3A.12,176620,Y56A3A.12,chrIII,-,95.24,38.22,1.58E-28,Unsorted
R12E2.14,172001,R12E2.14,chrI,+,101.95,42.46,1.59E-28,Unsorted
K05F1.2,173981,msp-142,chrII,+,61.90,18.68,1.59E-28,Unsorted
C03E10.6,179560,clec-222,chrV,+,119.05,53.50,2.19E-28,Unsorted
W05B2.5,259335,col-93,chrIII,-,53.35,14.23,2.27E-28,Unsorted
B0491.2,174731,sqt-1,chrII,-,64.39,20.17,2.65E-28,Unsorted
W08F4.3,173450,W08F4.3,chrII,+,135.50,64.54,2.88E-28,Unsorted
C14B1.9,175480,C14B1.9,chrIII,-,74.57,26.33,8.32E-28,Unsorted
T22B2.4,180674,sup-12,chrX,+,78.25,28.66,1.83E-27,Unsorted
C47G2.1,174720,cut-1,chrII,+,135.71,65.82,4.42E-27,Unsorted
C18A3.1,173970,C18A3.1,chrII,+,144.70,71.97,4.58E-27,Unsorted
D2063.3,178828,D2063.3,chrV,-,118.72,54.56,4.77E-27,Unsorted
T07F8.3,174174,gld-3,chrII,+,131.71,63.27,5.56E-27,Unsorted
C36B1.1,172678,cle-1,chrI,-,62.99,20.17,5.62E-27,Unsorted
F01G4.1,178015,psa-4,chrIV,+,98.16,41.40,7.90E-27,Unsorted
C17G1.2,182741,C17G1.2,chrX,+,66.77,22.72,2.29E-26,Unsorted
C26E6.5,175667,fsn-1,chrIII,+,118.72,55.20,2.63E-26,Unsorted
K03B4.4,186919,K03B4.4,chrV,+,75.97,28.24,3.46E-26,Unsorted
F21D5.2,177679,F21D5.2,chrIV,+,81.17,31.42,4.44E-26,Unsorted
T01B10.2,187934,grd-14,chrX,+,117.86,55.20,9.35E-26,Unsorted
F37B12.2,174438,gcs-1,chrII,-,104.65,46.50,1.04E-25,Unsorted
ZK970.3,174595,mdt-22,chrII,+,82.79,32.70,1.15E-25,Unsorted
F49H12.5,180520,F49H12.5,chrX,+,99.46,43.31,1.42E-25,Unsorted
K08C9.2,173035,K08C9.2,chrI,-,65.91,23.14,7.15E-25,Unsorted
R09A8.2,181409,R09A8.2,chrX,+,66.67,23.78,1.54E-24,Unsorted
F11A10.1,178146,lex-1,chrIV,+,79.98,32.06,2.85E-24,Unsorted
H06I04.4,175413,ubl-1,chrIII,+,81.60,33.12,3.13E-24,Unsorted
T05A7.1,188081,T05A7.1,chrII,+,126.73,62.85,5.02E-24,Unsorted
F32A7.5,173357,F32A7.5,chrI,+,99.89,45.22,1.09E-23,Unsorted
C28H8.3,175834,C28H8.3,chrIII,+,79.55,32.27,1.11E-23,Unsorted
T09B4.10,172303,chn-1,chrI,-,100.11,45.44,1.26E-23,Unsorted
H04M03.3,177359,H04M03.3,chrIV,+,45.02,12.53,3.47E-23,Unsorted
F08C6.7,181020,unc-98,chrX,-,63.10,22.72,5.13E-23,Unsorted
C43E11.6,172021,nab-1,chrI,+,24.46,2.97,5.67E-23,Unsorted
C31H1.5,183097,C31H1.5,chrIV,-,41.99,11.04,6.32E-23,Unsorted
C18E3.2,172018,C18E3.2,chrI,+,113.96,55.41,6.88E-23,Unsorted
C52D10.7,178494,skr-9,chrIV,+,50.97,15.92,7.99E-23,Unsorted
F27C1.8,172197,dpy-5,chrI,-,63.20,22.93,9.01E-23,Unsorted
ZK550.4,178502,ZK550.4,chrIV,+,71.10,27.81,1.10E-22,Unsorted
B0513.4,178351,B0513.4,chrIV,+,62.23,22.72,2.47E-22,Unsorted
T03F1.9,171964,hcp-4,chrI,-,61.80,22.51,3.68E-22,Unsorted
K08E5.2,176429,nac-3,chrIII,+,64.07,23.99,5.31E-22,Unsorted
F41E6.6,179240,tag-196,chrV,+,109.85,53.50,5.51E-22,Unsorted
F53F4.3,186176,F53F4.3,chrV,+,112.01,54.99,6.19E-22,Unsorted
F32H2.7,172716,F32H2.7,chrI,-,50.11,15.92,6.25E-22,Unsorted
T04F8.8,181351,T04F8.8,chrX,+,38.85,9.98,7.26E-22,Unsorted
C46A5.9,177560,hcf-1,chrIV,-,59.85,21.66,9.17E-22,Unsorted
E02H4.6,183997,E02H4.6,chrX,-,48.92,15.50,1.32E-21,Unsorted
Y37D8A.9,176702,mrg-1,chrIII,-,95.67,44.59,2.12E-21,Unsorted
F01D5.6,175050,F01D5.6,chrII,+,98.16,46.50,4.28E-21,Unsorted
F42A10.1,175873,abcf-3,chrIII,+,67.42,26.75,4.56E-21,Unsorted
C31H1.8,177351,C31H1.8,chrIV,-,68.51,27.39,4.62E-21,Unsorted
C05D2.10,175774,C05D2.10,chrIII,-,98.16,46.71,6.20E-21,Unsorted
C08G9.1,259578,C08G9.1,chrIV,+,77.38,33.12,6.58E-21,Unsorted
M116.5,177642,M116.5,chrIV,-,65.91,26.11,1.09E-20,Unsorted
ZK1053.2,191507,ZK1053.2,chrI,+,34.74,8.49,1.57E-20,Unsorted
F36H1.4,178001,lin-3,chrIV,+,29.87,6.16,1.89E-20,Unsorted
C03D6.5,172812,asfl-1,chrI,+,100.65,49.04,3.15E-20,Unsorted
Y6D11A.2,175247,arx-4,chrIII,+,37.66,10.19,4.47E-20,Unsorted
Y66C5A.1,3565864,Y66C5A.1,chrX,-,43.07,13.16,5.81E-20,Unsorted
ZC404.8,179070,spn-4,chrV,-,67.10,27.39,6.33E-20,Unsorted
EEED8.3,184042,EEED8.3,chrII,+,65.04,26.33,1.04E-19,Unsorted
F14F7.4,176725,F14F7.4,chrIII,-,41.99,12.74,1.23E-19,Unsorted
T24D1.5,172853,T24D1.5,chrI,-,37.23,10.19,1.37E-19,Unsorted
T06E4.6,188178,col-146,chrV,+,58.44,22.51,2.31E-19,Unsorted
Y105C5B.13,178447,skr-10,chrIV,+,54.00,19.96,3.44E-19,Unsorted
C30B5.1,174029,tag-319,chrII,+,89.83,42.89,4.05E-19,Unsorted
Y75B8A.24,176653,Y75B8A.24,chrIII,-,37.55,10.62,4.06E-19,Unsorted
K08F4.2,177880,K08F4.2,chrIV,-,51.19,18.47,5.91E-19,Unsorted
F13G11.2,184432,F13G11.2,chrIV,+,50.11,17.83,7.36E-19,Unsorted
F48A11.4,185962,F48A11.4,chrII,-,72.29,31.63,8.74E-19,Unsorted
T10H9.3,179055,T10H9.3,chrV,-,53.14,19.75,9.44E-19,Unsorted
H14N18.4,179271,transpeptidase,chrV,-,78.79,35.88,9.84E-19,Unsorted
ZK484.3,266835,ZK484.3,chrI,-,82.47,38.43,1.12E-18,Unsorted
F32D8.5,179509,F32D8.5,chrV,+,47.51,16.56,1.51E-18,Unsorted
C37C3.9,179164,C37C3.9,chrV,-,44.16,14.65,1.85E-18,Unsorted
H12I13.6,174015,H12I13.6,chrII,+,40.37,12.53,2.03E-18,Unsorted
C37C3.13,259631,ttr-33,chrV,-,48.05,16.99,2.53E-18,Unsorted
Y116A8C.4,178472,Y116A8C.4,chrIV,+,19.70,2.55,2.93E-18,Unsorted
W05G11.3,175170,col-88,chrIII,+,29.55,7.01,3.18E-18,Unsorted
F44G4.2,174435,F44G4.2,chrII,+,95.24,47.56,3.49E-18,Unsorted
Y57G11B.7,3564946,Y57G11B.7,chrIV,-,34.42,9.55,4.87E-18,Unsorted
F10G8.3,172864,npp-17,chrI,+,88.31,43.10,6.89E-18,Unsorted
Y39A3CR.7,175330,pqn-82,chrIII,+,43.29,14.65,9.62E-18,Unsorted
F46B3.1,185829,F46B3.1,chrV,-,72.94,33.12,1.27E-17,Unsorted
ZC412.3,3565691,ZC412.3,chrV,-,87.66,42.89,1.28E-17,Unsorted
T22C1.6,172568,myosin,chrI,+,75.97,35.24,1.86E-17,Unsorted
F52C12.5,176993,elt-6,chrIV,+,33.98,9.77,2.98E-17,Unsorted
F58A6.5,173883,F58A6.5,chrII,-,30.30,7.86,3.79E-17,Unsorted
B0414.3,172242,hil-5,chrI,+,48.48,18.05,4.04E-17,Unsorted
Y37D8A.15,176708,flp-14,chrIII,+,50.87,19.53,4.05E-17,Unsorted
Y48G1A.2,171625,Y48G1A.2,chrI,+,64.72,28.24,4.60E-17,Unsorted
C53B7.3,180957,C53B7.3,chrX,+,81.28,39.28,6.35E-17,Unsorted
F14H3.5,184491,F14H3.5,chrV,-,45.67,16.56,6.92E-17,Unsorted
F47D12.1,175893,gar-2,chrIII,+,19.59,2.97,7.89E-17,Unsorted
C07G1.3,177615,pct-1,chrIV,+,53.25,21.23,8.61E-17,Unsorted
Y73E7A.4,190666,cpx-1,chrI,-,22.73,4.46,1.53E-16,Unsorted
F33A8.2,185219,nlp-18,chrII,-,38.64,12.74,1.57E-16,Unsorted
C09G9.6,177703,oma-1,chrIV,+,84.42,41.83,1.63E-16,Unsorted
C08F1.6,173550,C08F1.6,chrII,-,80.19,39.07,1.90E-16,Unsorted
C37A5.2,259409,fipr-22,chrI,+,62.88,27.60,1.91E-16,Unsorted
F18A1.7,174237,F18A1.7,chrII,-,68.72,31.42,2.02E-16,Unsorted
C16C10.3,175535,C16C10.3,chrIII,-,33.12,9.77,2.50E-16,Unsorted
W09C3.7,172083,W09C3.7,chrI,-,76.41,36.73,3.55E-16,Unsorted
ZC302.1,179488,mre-11,chrV,-,84.20,42.04,3.76E-16,Unsorted
ZC513.7,NA,NA,chrV,-,82.25,40.76,3.83E-16,Unsorted
F52D2.7,180508,F52D2.7,chrX,+,52.06,21.02,4.11E-16,Unsorted
F38A5.6,177421,F38A5.6,chrIV,-,63.74,28.66,7.06E-16,Unsorted
F17E9.5,177629,F17E9.5,chrIV,+,78.46,38.43,7.40E-16,Unsorted
K07A1.5,172796,K07A1.5,chrI,+,31.28,9.13,1.07E-15,Unsorted
C18H7.2,182801,inx-18,chrIV,+,30.74,8.92,1.55E-15,Unsorted
F58E6.3,179367,F58E6.3,chrV,+,38.96,13.59,1.74E-15,Unsorted
F44B9.8,176131,ARPA,chrIII,-,77.71,38.43,1.91E-15,Unsorted
F58A4.8,176361,tbg-1,chrIII,-,64.83,29.72,1.92E-15,Unsorted
C25F6.7,180816,C25F6.7,chrX,+,15.91,1.91,1.92E-15,Unsorted
C14H10.1,181233,C14H10.1,chrX,-,68.18,32.06,2.41E-15,Unsorted
F59E10.1,174676,orc-2,chrII,+,49.13,19.75,2.41E-15,Unsorted
F14H3.6,180077,F14H3.6,chrV,-,79.11,39.49,2.68E-15,Unsorted
F33H1.4,174580,F33H1.4,chrII,+,18.51,3.18,7.45E-15,Unsorted
C29E6.1,178120,let-653,chrIV,+,29.44,8.70,1.32E-14,Unsorted
Y53C12A.1,174531,wee-1.3,chrII,-,27.06,7.43,1.35E-14,Unsorted
C05D10.4,175860,C05D10.4,chrIII,-,39.94,14.86,1.94E-14,Unsorted
F20A1.10,184707,F20A1.10,chrV,-,36.36,12.74,2.16E-14,Unsorted
K08A8.2,181002,sox-2,chrX,-,59.31,27.18,2.92E-14,Unsorted
C51E3.7,179412,egl-3,chrV,-,42.97,16.77,2.98E-14,Unsorted
C01G8.3,172172,dhs-1,chrI,-,42.10,16.35,3.57E-14,Unsorted
