comparison	ID	cosmid_id	gene	AveExpr	t	P_Value	adj_P_Val	B	FC
LE-intestine_up_vs_LE-reference	WBGene00020340	T08B1.1	T08B1.1	9.18	9.65	0	0	22.3	5.86
LE-intestine_up_vs_LE-reference	WBGene00003607	F33D4.1	nhr-8	9.28	9.65	0	0	22.3	4.16
LE-intestine_up_vs_LE-reference	WBGene00021852	Y54F10AM.8	Y54F10AM.8	9.07	9.64	0	0	22.25	7.35
LE-intestine_up_vs_LE-reference	WBGene00003956	ZK112.1	pcp-1	9.59	9.55	0	0	21.92	6.83
LE-intestine_up_vs_LE-reference	WBGene00000302	C56A3.7	cav-2	8.28	9.52	0	0	21.8	6.2
LE-intestine_up_vs_LE-reference	WBGene00019957	R08E3.1	R08E3.1	9.21	9.52	0	0	21.77	4.39
LE-intestine_up_vs_LE-reference	WBGene00001250	C33D3.1	elt-2	9.14	9.51	0	0	21.76	5.34
LE-intestine_up_vs_LE-reference	WBGene00010605	K06G5.1	K06G5.1	10.85	9.48	0	0	21.65	8.74
LE-intestine_up_vs_LE-reference	WBGene00022200	Y71H10A.2	Y71H10A.2	9.31	9.46	0	0	21.57	7.66
LE-intestine_up_vs_LE-reference	WBGene00020788	T25B6.2	T25B6.2	9.51	9.42	0	0	21.38	5.82
LE-intestine_up_vs_LE-reference	WBGene00008542	F07A5.3	F07A5.3	8.5	9.41	0	0	21.37	5.6
LE-intestine_up_vs_LE-reference	WBGene00017123	E04F6.3	maoc-1	9.55	9.36	0	0	21.16	6.61
LE-intestine_up_vs_LE-reference	WBGene00003410	F21G4.2	mrp-4	8.77	9.34	0	0	21.07	5.77
LE-intestine_up_vs_LE-reference	WBGene00020280	T06A1.5	T06A1.5	9.16	9.31	0	0	20.96	5.77
LE-intestine_up_vs_LE-reference	WBGene00010150	F56D5.6	F56D5.6	9.47	9.31	0	0	20.95	5.21
LE-intestine_up_vs_LE-reference	WBGene00003786	VC5.3	npa-1	11.3	9.3	0	0	20.91	7.89
LE-intestine_up_vs_LE-reference	WBGene00013439	Y66D12A.13	Y66D12A.13	8.21	9.3	0	0	20.89	3.46
LE-intestine_up_vs_LE-reference	WBGene00002067	C43C3.1	ifp-1	9.19	9.2	0	0	20.52	6.04
LE-intestine_up_vs_LE-reference	WBGene00002058	F25E2.4	ifd-2	9.47	9.17	0	0	20.37	5.57
LE-intestine_up_vs_LE-reference	WBGene00003958	F23B2.11	pcp-3	9.2	9.15	0	0	20.32	5.13
LE-intestine_up_vs_LE-reference	WBGene00004789	W10G6.2	sgk-1	9.35	9.1	0	0	20.12	5.49
LE-intestine_up_vs_LE-reference	WBGene00008669	F11A3.1	F11A3.1	9.18	8.99	0	0	19.67	5.71
LE-intestine_up_vs_LE-reference	WBGene00000788	F32B5.8	cpz-1	10.5	8.97	0	0	19.59	5.54
LE-intestine_up_vs_LE-reference	WBGene00018951	F56C9.7	F56C9.7	10.14	8.91	0	0	19.35	6.37
LE-intestine_up_vs_LE-reference	WBGene00004238	F46G10.5	ptr-24	8.9	8.91	0	0	19.32	5.32
LE-intestine_up_vs_LE-reference	WBGene00016631	C44B7.11	C44B7.11	8.62	8.91	0	0	19.32	3.55
LE-intestine_up_vs_LE-reference	WBGene00015956	C18B2.5	C18B2.5	9.71	8.89	0	0	19.27	5.07
LE-intestine_up_vs_LE-reference	WBGene00018350	F42C5.10	F42C5.10	9.61	8.86	0	0	19.12	5.76
LE-intestine_up_vs_LE-reference	WBGene00004037	Y75B12B.6	plc-2	9.02	8.85	0	0	19.09	3.36
LE-intestine_up_vs_LE-reference	WBGene00007811	C29F7.2	C29F7.2	10.16	8.81	0	0	18.92	8.36
LE-intestine_up_vs_LE-reference	WBGene00000991	M03A8.1	dhs-28	10.22	8.78	0	0	18.81	5.75
LE-intestine_up_vs_LE-reference	WBGene00020765	T24C12.3	T24C12.3	8.75	8.77	0	0	18.79	3.46
LE-intestine_up_vs_LE-reference	WBGene00001157	F01G10.2	ech-8	8.48	8.74	0	0	18.66	6.68
LE-intestine_up_vs_LE-reference	WBGene00008692	F11C1.3	F11C1.3	8.2	8.73	0	0	18.6	4.27
LE-intestine_up_vs_LE-reference	WBGene00009886	F49E2.2	F49E2.2	9.09	8.73	0	0	18.6	5.21
LE-intestine_up_vs_LE-reference	WBGene00016721	C46G7.1	C46G7.1	9.46	8.73	0	0	18.6	9.19
LE-intestine_up_vs_LE-reference	WBGene00009259	F29G6.3	F29G6.3	11.18	8.73	0	0	18.6	6.62
LE-intestine_up_vs_LE-reference	WBGene00016542	C39H7.4	C39H7.4	8.68	8.71	0	0	18.54	4.52
LE-intestine_up_vs_LE-reference	WBGene00019404	K05B2.4	K05B2.4	7.99	8.7	0	0	18.48	4.1
LE-intestine_up_vs_LE-reference	WBGene00006915	VW02B12L.1	vha-6	10.05	8.69	0	0	18.46	6.33
LE-intestine_up_vs_LE-reference	WBGene00002138	R12E2.5	inx-16	9.24	8.66	0	0	18.34	7.47
LE-intestine_up_vs_LE-reference	WBGene00010049	F54D5.3	F54D5.3	9.97	8.65	0	0	18.29	7.05
LE-intestine_up_vs_LE-reference	WBGene00003845	B0280.4	odd-1	7.66	8.62	0	0	18.18	4.8
LE-intestine_up_vs_LE-reference	WBGene00004988	T08A9.7	spp-3	11.28	8.6	0	0	18.1	10.3
LE-intestine_up_vs_LE-reference	WBGene00015913	C17F4.7	C17F4.7	11.51	8.59	0	0	18.07	12.73
LE-intestine_up_vs_LE-reference	WBGene00018374	F43B10.2	tag-343	10.04	8.57	0	0	17.98	3.99
LE-intestine_up_vs_LE-reference	WBGene00013870	ZC373.5	ZC373.5	8.63	8.57	0	0	17.98	5.91
LE-intestine_up_vs_LE-reference	WBGene00002137	R12E2.9	inx-15	9.81	8.51	0	0	17.74	6.26
LE-intestine_up_vs_LE-reference	WBGene00017969	F32A5.3	F32A5.3	9.03	8.5	0	0	17.7	5.54
LE-intestine_up_vs_LE-reference	WBGene00013284	Y57A10C.6	Y57A10C.6	9.11	8.47	0	0	17.56	4.44
LE-intestine_up_vs_LE-reference	WBGene00010925	M153.2	M153.2	8.45	8.38	0	0	17.2	5.57
LE-intestine_up_vs_LE-reference	WBGene00013875	ZC376.3	ZC376.3	7.41	8.34	0	0	17.03	2.74
LE-intestine_up_vs_LE-reference	WBGene00008607	F09B12.3	F09B12.3	9.58	8.33	0	0	16.99	6.38
LE-intestine_up_vs_LE-reference	WBGene00022412	Y102A11A.2	Y102A11A.2	8.95	8.28	0	0	16.79	5.22
LE-intestine_up_vs_LE-reference	WBGene00018036	F35C8.5	F35C8.5	9.06	8.24	0	0	16.65	5.47
LE-intestine_up_vs_LE-reference	WBGene00015280	C01B10.6	C01B10.6	9.77	8.24	0	0	16.61	5.81
LE-intestine_up_vs_LE-reference	WBGene00022562	ZC204.12	ZC204.12	9.17	8.23	0	0	16.6	7.65
LE-intestine_up_vs_LE-reference	WBGene00009741	F45H10.4	drr-1	8.75	8.21	0	0	16.52	7.82
LE-intestine_up_vs_LE-reference	WBGene00017257	F08F1.3	F08F1.3	8.04	8.16	0	0	16.29	5.47
LE-intestine_up_vs_LE-reference	WBGene00016599	C42D8.1	C42D8.1	9.14	8.15	0	0	16.27	6.17
LE-intestine_up_vs_LE-reference	WBGene00019017	F57F4.4	F57F4.4	11.32	8.14	0	0	16.22	6.54
LE-intestine_up_vs_LE-reference	WBGene00009796	F46G10.1	F46G10.1	10.2	8.14	0	0	16.22	5.8
LE-intestine_up_vs_LE-reference	WBGene00003090	Y22F5A.4	lys-1	10.91	8.13	0	0	16.18	5.98
LE-intestine_up_vs_LE-reference	WBGene00012445	Y16B4A.2	Y16B4A.2	9.74	8.12	0	0	16.14	3.91
LE-intestine_up_vs_LE-reference	WBGene00017892	F28B4.3	F28B4.3	9.61	8.1	0	0	16.06	4.24
LE-intestine_up_vs_LE-reference	WBGene00012531	Y32F6B.1	Y32F6B.1	9.14	8.07	0	0	15.92	6.17
LE-intestine_up_vs_LE-reference	WBGene00019869	R04E5.2	R04E5.2	8.08	8.06	0	0	15.89	2.9
LE-intestine_up_vs_LE-reference	WBGene00007236	C01G10.9	C01G10.9	8.36	8.04	0	0	15.83	3.91
LE-intestine_up_vs_LE-reference	WBGene00044206	T26H5.9	T26H5.9	10.53	8.03	0	0	15.8	13.28
LE-intestine_up_vs_LE-reference	WBGene00001522	D2089.5	gbh-1	8.79	8.03	0	0	15.78	5.87
LE-intestine_up_vs_LE-reference	WBGene00007650	C17G1.3	ugt-23	9.31	8.02	0	0	15.75	5.29
LE-intestine_up_vs_LE-reference	WBGene00002054	F10C1.7	ifb-2	11.55	8.01	0	0	15.72	5.08
LE-intestine_up_vs_LE-reference	WBGene00006461	M01D7.4	tag-96	8.56	7.98	0	0	15.6	3.62
LE-intestine_up_vs_LE-reference	WBGene00011821	T18D3.3	T18D3.3	8.54	7.98	0	0	15.59	5.27
LE-intestine_up_vs_LE-reference	WBGene00004397	T01B7.7	rol-6	10.51	7.96	0	0	15.51	6.34
LE-intestine_up_vs_LE-reference	WBGene00019958	R08E3.2	R08E3.2	9.01	7.93	0	0	15.37	5.11
LE-intestine_up_vs_LE-reference	WBGene00012253	W04E12.8	clec-50	9.77	7.92	0	0	15.35	4.34
LE-intestine_up_vs_LE-reference	WBGene00008102	C44H9.7	C44H9.7	7.69	7.88	0	0	15.18	5.3
LE-intestine_up_vs_LE-reference	WBGene00016379	C33H5.13	C33H5.13	10.29	7.88	0	0	15.18	3.5
LE-intestine_up_vs_LE-reference	WBGene00018602	F48D6.4	F48D6.4	9.64	7.87	0	0	15.14	9.2
LE-intestine_up_vs_LE-reference	WBGene00004030	F07C6.1	pin-2	7.99	7.86	0	0	15.09	3.49
LE-intestine_up_vs_LE-reference	WBGene00012970	Y48A6B.9	Y48A6B.9	8.73	7.83	0	0	14.97	3.95
LE-intestine_up_vs_LE-reference	WBGene00016875	C52D10.1	C52D10.1	9.89	7.8	0	0	14.85	5.87
LE-intestine_up_vs_LE-reference	WBGene00044107	F58G6.9	F58G6.9	9.96	7.79	0	0	14.82	6.36
LE-intestine_up_vs_LE-reference	WBGene00019022	F58A6.1	F58A6.1	9.32	7.78	0	0	14.75	8.11
LE-intestine_up_vs_LE-reference	WBGene00020182	T03D3.1	ugt-53	7.47	7.77	0	0	14.71	4.03
LE-intestine_up_vs_LE-reference	WBGene00022130	Y71F9B.9	Y71F9B.9	8.73	7.76	0	0	14.69	4.42
LE-intestine_up_vs_LE-reference	WBGene00000215	T18H9.2	asp-2	10.74	7.74	0	0	14.61	6.25
LE-intestine_up_vs_LE-reference	WBGene00016865	C52B9.2	C52B9.2	8.89	7.72	0	0	14.52	5.6
LE-intestine_up_vs_LE-reference	WBGene00009903	F49E12.10	F49E12.10	7.6	7.71	0	0	14.47	5.14
LE-intestine_up_vs_LE-reference	WBGene00001581	F57F4.3	gfi-1	9.24	7.69	0	0	14.42	4.51
LE-intestine_up_vs_LE-reference	WBGene00019617	K10C2.1	K10C2.1	9.85	7.65	0	0	14.24	4.83
LE-intestine_up_vs_LE-reference	WBGene00008354	D1025.2	D1025.2	10.42	7.63	0	0	14.16	6.83
LE-intestine_up_vs_LE-reference	WBGene00021322	Y34B4A.6	Y34B4A.6	10.1	7.63	0	0	14.14	6.24
LE-intestine_up_vs_LE-reference	WBGene00020256	T05C3.6	T05C3.6	8.34	7.62	0	0	14.1	3.75
LE-intestine_up_vs_LE-reference	WBGene00003409	E03G2.2	mrp-3	8.61	7.55	0	0	13.83	3.05
LE-intestine_up_vs_LE-reference	WBGene00018210	F39G3.5	F39G3.5	9.19	7.55	0	0	13.82	4.51
LE-intestine_up_vs_LE-reference	WBGene00007336	C05C12.4	C05C12.4	9.3	7.54	0	0	13.78	5.63
LE-intestine_up_vs_LE-reference	WBGene00014000	ZK550.6	ZK550.6	9.48	7.53	0	0	13.73	5.26
LE-intestine_up_vs_LE-reference	WBGene00000214	Y39B6A.20	asp-1	11.76	7.51	0	0	13.66	5.99
LE-intestine_up_vs_LE-reference	WBGene00004990	T08A9.9	spp-5	12.1	7.5	0	0	13.63	7.26
LE-intestine_up_vs_LE-reference	WBGene00010831	M02G9.2	M02G9.2	8.34	7.46	0	0	13.46	3.62
LE-intestine_up_vs_LE-reference	WBGene00013560	Y75B8A.29	Y75B8A.29	11.07	7.44	0	0	13.39	5.59
LE-intestine_up_vs_LE-reference	WBGene00011803	T16G12.1	T16G12.1	8.36	7.43	0	0	13.35	3.9
LE-intestine_up_vs_LE-reference	WBGene00007685	C18E9.5	C18E9.5	9.14	7.43	0	0	13.35	5.76
LE-intestine_up_vs_LE-reference	WBGene00011856	T20D3.2	T20D3.2	10.89	7.43	0	0	13.34	6.07
LE-intestine_up_vs_LE-reference	WBGene00007455	C08F11.8	ugt-22	8.42	7.42	0	0	13.32	3.82
LE-intestine_up_vs_LE-reference	WBGene00022474	Y119C1B.9	Y119C1B.9	8.54	7.42	0	0	13.3	4.72
LE-intestine_up_vs_LE-reference	WBGene00019097	F59B1.2	F59B1.2	11.94	7.38	0	0	13.14	5.14
LE-intestine_up_vs_LE-reference	WBGene00015906	C17E7.13	C17E7.13	7.93	7.37	0	0	13.12	4.07
LE-intestine_up_vs_LE-reference	WBGene00008336	C55A6.7	C55A6.7	8.45	7.37	0	0	13.1	4.77
LE-intestine_up_vs_LE-reference	WBGene00013575	Y76A2B.3	Y76A2B.3	9.51	7.36	0	0	13.06	3.75
LE-intestine_up_vs_LE-reference	WBGene00012201	W02B12.1	W02B12.1	8.41	7.3	0	0	12.82	5.51
LE-intestine_up_vs_LE-reference	WBGene00044761	Y82E9BR.23	Y82E9BR.23	8.75	7.29	0	0	12.8	7.83
LE-intestine_up_vs_LE-reference	WBGene00015141	B0310.5	ugt-46	9.32	7.29	0	0	12.77	4.07
LE-intestine_up_vs_LE-reference	WBGene00010083	F55B11.1	F55B11.1	8.87	7.29	0	0	12.77	4.01
LE-intestine_up_vs_LE-reference	WBGene00019261	H34I24.2	H34I24.2	9.9	7.27	0	0	12.7	3.2
LE-intestine_up_vs_LE-reference	WBGene00015389	C03F11.3	C03F11.3	9.57	7.24	0	0	12.6	4.53
LE-intestine_up_vs_LE-reference	WBGene00017431	F13H6.3	F13H6.3	9.17	7.24	0	0	12.57	4.05
LE-intestine_up_vs_LE-reference	WBGene00012782	Y43C5A.2	Y43C5A.2	9.58	7.23	0	0	12.54	5.38
LE-intestine_up_vs_LE-reference	WBGene00021583	Y46C8AL.5	clec-72	8.5	7.21	0	0	12.46	5.68
LE-intestine_up_vs_LE-reference	WBGene00018718	F52H2.6	F52H2.6	8.62	7.2	0	0	12.44	3.61
LE-intestine_up_vs_LE-reference	WBGene00008091	C44F1.1	C44F1.1	8.28	7.2	0	0	12.43	4.09
LE-intestine_up_vs_LE-reference	WBGene00008194	C49C3.4	C49C3.4	9.01	7.19	0	0	12.37	2.91
LE-intestine_up_vs_LE-reference	WBGene00019057	F58F9.3	F58F9.3	8.34	7.17	0	0	12.28	6.01
LE-intestine_up_vs_LE-reference	WBGene00077684	Y26D4A.21	Y26D4A.21	8.22	7.14	0	0	12.19	10.74
LE-intestine_up_vs_LE-reference	WBGene00010070	F54F11.2	F54F11.2	10.96	7.14	0	0	12.18	4.42
LE-intestine_up_vs_LE-reference	WBGene00000218	F21F8.3	asp-5	11.18	7.13	0	0	12.14	6.52
LE-intestine_up_vs_LE-reference	WBGene00016759	C49A9.5	C49A9.5	8.36	7.1	0	0	12	4.82
LE-intestine_up_vs_LE-reference	WBGene00010811	M01F1.5	hmit-1.3	8.46	7.1	0	0	12	3.59
LE-intestine_up_vs_LE-reference	WBGene00000391	C47D2.2	cdd-1	9.82	7.09	0	0	11.99	4.63
LE-intestine_up_vs_LE-reference	WBGene00010041	F54C9.3	F54C9.3	11.34	7.04	0	0	11.77	8.86
LE-intestine_up_vs_LE-reference	WBGene00010899	M28.8	M28.8	8.78	7.03	0	0	11.72	4.68
LE-intestine_up_vs_LE-reference	WBGene00009226	F28G4.1	cyp-37B1	7.81	7	0	0	11.63	3.31
LE-intestine_up_vs_LE-reference	WBGene00017591	F19C7.1	F19C7.1	10.53	6.97	0	0	11.5	4.63
LE-intestine_up_vs_LE-reference	WBGene00021060	W06B11.3	dct-11	8.8	6.96	0	0	11.46	4.71
LE-intestine_up_vs_LE-reference	WBGene00004999	K09F5.3	spp-14	11.11	6.94	0	0	11.37	6.12
LE-intestine_up_vs_LE-reference	WBGene00017048	D2021.4	D2021.4	8.4	6.92	0	0	11.3	7.05
LE-intestine_up_vs_LE-reference	WBGene00019682	K12H4.7	K12H4.7	10.08	6.92	0	0	11.29	4.69
LE-intestine_up_vs_LE-reference	WBGene00017667	F21E9.3	ttr-37	8.34	6.92	0	0	11.28	6.08
LE-intestine_up_vs_LE-reference	WBGene00000219	F21F8.7	asp-6	11.52	6.91	0	0	11.25	5.34
LE-intestine_up_vs_LE-reference	WBGene00020158	T02C5.1	T02C5.1	10.95	6.89	0	0	11.16	5.86
LE-intestine_up_vs_LE-reference	WBGene00001814	W04C9.1	haf-4	8.96	6.88	0	0	11.12	2.74
LE-intestine_up_vs_LE-reference	WBGene00011330	T01D3.6	T01D3.6	9.98	6.87	0	0	11.09	4.42
LE-intestine_up_vs_LE-reference	WBGene00007810	C29F7.1	C29F7.1	8.65	6.87	0	0	11.07	5.65
LE-intestine_up_vs_LE-reference	WBGene00007605	C15C8.3	C15C8.3	10.15	6.86	0	0	11.04	4.1
LE-intestine_up_vs_LE-reference	WBGene00010774	K11E4.2	K11E4.2	8.46	6.85	0	0	11.02	4.68
LE-intestine_up_vs_LE-reference	WBGene00002258	W02D3.5	lbp-6	10.35	6.83	0	0	10.94	4.93
LE-intestine_up_vs_LE-reference	WBGene00005003	F27C8.4	spp-18	10.18	6.83	0	0	10.92	4.81
LE-intestine_up_vs_LE-reference	WBGene00008954	F19C6.5	F19C6.5	8.14	6.82	0	0	10.91	6.43
LE-intestine_up_vs_LE-reference	WBGene00050957	C10A4.10	C10A4.10	7.3	6.8	0	0	10.82	3.3
LE-intestine_up_vs_LE-reference	WBGene00011571	T07C12.7	ttr-46	10.68	6.78	0	0	10.75	7.55
LE-intestine_up_vs_LE-reference	WBGene00000981	C45B11.3	dhs-18	9.13	6.77	0	0	10.67	4.21
LE-intestine_up_vs_LE-reference	WBGene00018931	F56B3.7	ugt-52	7.79	6.74	0	0	10.58	3.02
LE-intestine_up_vs_LE-reference	WBGene00009397	F35C5.9	clec-66	8.52	6.73	0	0	10.52	3.19
LE-intestine_up_vs_LE-reference	WBGene00002174	W03D8.6	itx-1	9.34	6.72	0	0	10.49	2.91
LE-intestine_up_vs_LE-reference	WBGene00013693	Y105E8B.9	Y105E8B.9	8.78	6.71	0	0	10.45	3.73
LE-intestine_up_vs_LE-reference	WBGene00011439	T04F3.4	T04F3.4	8.3	6.7	0	0	10.41	4.98
LE-intestine_up_vs_LE-reference	WBGene00003711	E02H9.8	nhr-121	8.88	6.69	0	0	10.36	3.39
LE-intestine_up_vs_LE-reference	WBGene00008477	E03H4.10	clec-17	9.66	6.68	0	0	10.34	6.68
LE-intestine_up_vs_LE-reference	WBGene00007228	C01G6.7	C01G6.7	8.5	6.68	0	0	10.34	3.13
LE-intestine_up_vs_LE-reference	WBGene00021635	Y47G6A.5	Y47G6A.5	9.21	6.66	0	0	10.25	4.23
LE-intestine_up_vs_LE-reference	WBGene00021325	Y34B4A.9	Y34B4A.9	10.83	6.66	0	0	10.24	6.55
LE-intestine_up_vs_LE-reference	WBGene00015400	C03G6.15	cyp-35A2	8.38	6.65	0	0	10.22	4.27
LE-intestine_up_vs_LE-reference	WBGene00011128	R07H5.8	R07H5.8	11.05	6.65	0	0	10.21	3.77
LE-intestine_up_vs_LE-reference	WBGene00016877	C52D10.3	C52D10.3	8.51	6.61	0	0	10.06	4.82
LE-intestine_up_vs_LE-reference	WBGene00018489	F46E10.2	F46E10.2	9.73	6.61	0	0	10.06	4.14
LE-intestine_up_vs_LE-reference	WBGene00020837	T27A1.5	T27A1.5	8.64	6.61	0	0	10.04	3.21
LE-intestine_up_vs_LE-reference	WBGene00010063	F54F3.4	F54F3.4	9.81	6.6	0	0	10	5.54
LE-intestine_up_vs_LE-reference	WBGene00020034	R12E2.8	R12E2.8	8.2	6.59	0	0	9.99	6.18
LE-intestine_up_vs_LE-reference	WBGene00015981	C18G1.2	elt-7	8.65	6.59	0	0	9.98	4.52
LE-intestine_up_vs_LE-reference	WBGene00019674	K12C11.3	K12C11.3	9.3	6.58	0	0	9.93	4.64
LE-intestine_up_vs_LE-reference	WBGene00022644	ZK6.10	dod-19	10.7	6.58	0	0	9.93	4.83
LE-intestine_up_vs_LE-reference	WBGene00019182	H10E21.1	H10E21.1	9.22	6.57	0	0	9.91	6.09
LE-intestine_up_vs_LE-reference	WBGene00008352	cTel54X.1	fbxa-6	8.14	6.57	0	0	9.9	3.89
LE-intestine_up_vs_LE-reference	WBGene00004258	D2023.2	pyc-1	10.44	6.57	0	0	9.88	3.26
LE-intestine_up_vs_LE-reference	WBGene00004096	F40F8.7	pqm-1	9.77	6.56	0	0	9.86	5.07
LE-intestine_up_vs_LE-reference	WBGene00000216	H22K11.1	asp-3	10.81	6.56	0	0	9.86	4.73
LE-intestine_up_vs_LE-reference	WBGene00020359	T08E11.3	math-40	8.64	6.55	0	0	9.82	8.27
LE-intestine_up_vs_LE-reference	WBGene00004058	C44B7.8	pmp-1	8.46	6.54	0	0	9.78	2.82
LE-intestine_up_vs_LE-reference	WBGene00022683	ZK185.3	ZK185.3	9.22	6.53	0	0	9.73	3.51
LE-intestine_up_vs_LE-reference	WBGene00008341	C56A3.2	ttr-44	10.17	6.51	0	0	9.64	4.55
LE-intestine_up_vs_LE-reference	WBGene00020082	R57.1	R57.1	9.1	6.5	0	0	9.62	3.36
LE-intestine_up_vs_LE-reference	WBGene00022353	Y82E9BR.21	Y82E9BR.21	8.85	6.47	0	0	9.51	4.64
LE-intestine_up_vs_LE-reference	WBGene00017447	F14B8.5	F14B8.5	10.25	6.47	0	0	9.49	4.33
LE-intestine_up_vs_LE-reference	WBGene00044792	F59C6.14	F59C6.14	9.56	6.46	0	0	9.45	5.18
LE-intestine_up_vs_LE-reference	WBGene00009394	F35C5.6	clec-63	11.2	6.45	0	0	9.43	3.68
LE-intestine_up_vs_LE-reference	WBGene00000178	ZK1321.3	aqp-10	9.83	6.44	0	0	9.39	3.85
LE-intestine_up_vs_LE-reference	WBGene00044723	K11H12.11	K11H12.11	7.54	6.43	0	0	9.32	2.58
LE-intestine_up_vs_LE-reference	WBGene00023432	K12B6.9	K12B6.9	8.78	6.4	0	0	9.23	4.4
LE-intestine_up_vs_LE-reference	WBGene00017023	D1022.4	D1022.4	9.9	6.4	0	0	9.21	4.51
LE-intestine_up_vs_LE-reference	WBGene00020360	T08E11.4	math-41	9.39	6.38	0	0	9.16	3.12
LE-intestine_up_vs_LE-reference	WBGene00019373	K04A8.1	K04A8.1	8.3	6.38	0	0	9.15	3.29
LE-intestine_up_vs_LE-reference	WBGene00018280	F41C6.7	F41C6.7	7.91	6.38	0	0	9.14	3.49
LE-intestine_up_vs_LE-reference	WBGene00017244	F08C6.6	apy-1	10.69	6.38	0	0	9.13	3.51
LE-intestine_up_vs_LE-reference	WBGene00009895	F49E11.10	scl-2	9.76	6.37	0	0	9.12	4.89
LE-intestine_up_vs_LE-reference	WBGene00015713	C12D12.1	C12D12.1	9.51	6.37	0	0	9.11	3.78
